# PL Mapping - 2025_07_23_17_01_38
# X Y Count1 Count2 Total
-19.997 -19.996 2170 2070 4340
-19.996 -15.004 2430 2620 4860
-19.998 -10.001 2750 2510 5500
-19.998 -4.998 3210 3120 6420
-19.996 0.002 2470 2800 4940
-20.000 4.996 3050 2710 6100
-20.003 10.000 3140 2920 6280
-20.004 15.001 3350 3680 6700
-20.003 20.000 1410 1490 2820
-14.999 -20.002 2660 2830 5320
-14.999 -15.005 2820 2530 5640
-14.998 -9.996 2690 2610 5380
-15.001 -4.997 2990 2840 5980
-14.997 0.000 3940 3760 7880
-15.002 5.002 2640 2840 5280
-15.001 10.003 2960 2550 5920
-15.001 14.997 3770 3770 7540
-15.000 19.999 2080 2010 4160
-9.997 -20.001 2980 2850 5960
-9.999 -15.001 2750 2580 5500
-9.998 -9.999 2540 2580 5080
-10.000 -4.998 3070 2970 6140
-9.997 0.000 3470 3760 6940
-9.998 5.006 4810 4560 9620
-9.997 10.000 2690 2590 5380
-9.999 14.996 2770 2640 5540
-9.999 19.995 3930 3460 7860
-4.998 -19.999 2430 2520 4860
-4.998 -15.003 3240 2870 6480
-5.000 -9.998 2620 2700 5240
-5.003 -4.999 3750 3870 7500
-4.998 0.002 3490 3160 6980
-5.003 5.000 3650 3550 7300
-4.997 10.000 2610 2620 5220
-4.994 14.995 2850 2780 5700
-4.997 20.004 2930 2880 5860
-0.002 -20.001 2800 2880 5600
0.004 -15.001 2760 2380 5520
-0.001 -10.001 2090 2150 4180
-0.001 -5.000 2840 2840 5680
0.002 -0.001 2820 2750 5640
-0.002 5.002 2990 2590 5980
0.003 9.997 3370 3190 6740
0.007 14.998 2930 3020 5860
0.000 20.001 2740 2750 5480
5.002 -20.001 3930 3590 7860
5.001 -15.004 2700 2560 5400
4.999 -9.999 2290 2140 4580
4.995 -4.999 2440 2060 4880
5.002 0.000 3390 3260 6780
5.000 5.003 3040 2850 6080
5.003 9.996 2980 2490 5960
5.001 15.001 2740 3310 5480
5.000 19.996 3570 3000 7140
10.000 -19.999 2550 2580 5100
9.999 -15.001 2690 2150 5380
9.998 -9.998 2760 2740 5520
10.003 -4.997 2420 2310 4840
10.001 -0.001 2850 3020 5700
10.007 5.003 2630 2560 5260
10.002 10.001 2560 2410 5120
10.000 15.006 3190 3150 6380
9.997 19.997 3100 2850 6200
15.002 -19.998 2430 2150 4860
15.000 -14.997 2560 3000 5120
15.001 -10.000 2330 2520 4660
15.000 -5.003 2270 2310 4540
15.001 -0.000 2860 2220 5720
14.999 5.003 2620 2870 5240
15.001 10.002 2640 2470 5280
15.000 15.002 2600 2130 5200
15.003 19.998 2790 2700 5580
20.000 -20.000 1250 1380 2500
20.001 -14.998 6060 4600 12120
20.000 -9.998 2450 2660 4900
19.996 -4.997 2830 2720 5660
20.001 -0.002 2420 2520 4840
19.998 5.006 2490 2050 4980
20.002 10.005 3010 2460 6020
20.000 14.999 2620 2380 5240
19.998 19.996 2600 2560 5200
