# PL Mapping - 2025_07_24_11_51_29
# x_req	y_req	x_act	y_act	count1	count2	total
-260.000	90.000	-259.998	90.000	4070	4180	8250
-260.000	90.200	-260.000	90.201	4250	4230	8480
-260.000	90.400	-260.002	90.407	4700	4350	9050
-260.000	90.600	-260.003	90.600	5230	4650	9880
-260.000	90.800	-259.997	90.804	5300	4940	10240
-260.000	91.000	-259.998	91.002	5190	5050	10240
-260.000	91.200	-259.998	91.199	5710	5510	11220
-260.000	91.400	-259.997	91.401	6100	6550	12650
-260.000	91.600	-260.001	91.601	6750	6130	12880
-260.000	91.800	-260.000	91.800	7290	7050	14340
-260.000	92.000	-259.998	91.997	7440	6540	13980
-260.000	92.200	-260.001	92.197	7630	7340	14970
-260.000	92.400	-260.000	92.402	8470	8110	16580
-260.000	92.600	-259.999	92.596	8400	7980	16380
-260.000	92.800	-259.999	92.800	8620	8280	16900
-260.000	93.000	-260.003	92.998	9140	8710	17850
-260.000	93.200	-260.002	93.199	10510	9490	20000
-260.000	93.400	-259.996	93.403	10450	9220	19670
-260.000	93.600	-259.998	93.602	11040	10580	21620
-260.000	93.800	-259.998	93.800	11600	10630	22230
-260.000	94.000	-260.002	94.007	11030	11440	22470
-260.000	94.200	-259.999	94.200	12440	11770	24210
-260.000	94.400	-260.001	94.402	12670	12600	25270
-260.000	94.600	-260.003	94.604	12940	12670	25610
-260.000	94.800	-259.998	94.793	13210	12920	26130
-260.000	95.000	-259.998	95.000	14230	14170	28400
-260.000	95.200	-260.003	95.200	14810	13340	28150
-260.000	95.400	-259.997	95.396	14650	14230	28880
-260.000	95.600	-260.000	95.602	14670	13320	27990
-260.000	95.800	-260.000	95.802	16170	14850	31020
-260.000	96.000	-259.995	96.001	16040	15230	31270
-260.000	96.200	-259.999	96.202	15950	14520	30470
-260.000	96.400	-260.002	96.401	16620	15820	32440
-260.000	96.600	-259.996	96.596	15660	15360	31020
-260.000	96.800	-259.997	96.791	16760	15970	32730
-260.000	97.000	-260.001	96.998	17160	15910	33070
-260.000	97.200	-260.000	97.199	16750	16200	32950
-260.000	97.400	-260.008	97.398	17270	16660	33930
-260.000	97.600	-259.995	97.599	17280	15850	33130
-260.000	97.800	-260.002	97.793	16360	16060	32420
-260.000	98.000	-259.998	98.001	17280	15980	33260
-260.000	98.200	-260.002	98.199	17470	15920	33390
-260.000	98.400	-260.001	98.401	17410	16330	33740
-260.000	98.600	-259.999	98.608	17510	15890	33400
-260.000	98.800	-260.001	98.805	17380	15700	33080
-260.000	99.000	-260.007	99.001	16930	15980	32910
-260.000	99.200	-259.998	99.201	16180	16700	32880
-260.000	99.400	-259.996	99.401	16890	15530	32420
-260.000	99.600	-260.001	99.602	15460	15210	30670
-260.000	99.800	-260.000	99.799	16030	15190	31220
-260.000	100.000	-260.004	100.000	16700	15190	31890
-260.000	100.200	-260.000	100.201	15660	14140	29800
-260.000	100.400	-259.997	100.400	15570	14410	29980
-260.000	100.600	-259.997	100.596	14830	13750	28580
-260.000	100.800	-260.000	100.802	15600	13790	29390
-260.000	101.000	-259.993	100.997	14780	14240	29020
-260.000	101.200	-260.002	101.202	14450	12750	27200
-260.000	101.400	-260.001	101.403	14040	12680	26720
-260.000	101.600	-259.994	101.604	13520	12510	26030
-260.000	101.800	-260.003	101.806	12920	11810	24730
-260.000	102.000	-260.003	101.996	13140	11190	24330
-260.000	102.200	-260.002	102.200	13200	11330	24530
-260.000	102.400	-260.001	102.396	11970	10420	22390
-260.000	102.600	-260.003	102.603	12410	11000	23410
-260.000	102.800	-259.998	102.798	11030	9900	20930
-260.000	103.000	-260.001	103.004	11650	9990	21640
-260.000	103.200	-259.996	103.208	11080	9690	20770
-260.000	103.400	-260.000	103.398	10490	9170	19660
-260.000	103.600	-260.000	103.605	10490	9020	19510
-260.000	103.800	-259.998	103.803	8940	8020	16960
-260.000	104.000	-260.001	104.004	8690	7590	16280
-260.000	104.200	-259.998	104.199	8760	7210	15970
-260.000	104.400	-260.003	104.406	7650	6620	14270
-260.000	104.600	-260.001	104.604	7970	6510	14480
-260.000	104.800	-259.998	104.803	7660	6650	14310
-260.000	105.000	-260.004	105.002	6860	6680	13540
-260.000	105.200	-260.005	105.198	6660	6310	12970
-260.000	105.400	-260.001	105.402	6560	6610	13170
-260.000	105.600	-260.000	105.596	6570	6230	12800
-260.000	105.800	-260.003	105.802	6220	5570	11790
-260.000	106.000	-260.000	105.998	6210	4960	11170
-260.000	106.200	-260.005	106.201	6250	5820	12070
-260.000	106.400	-260.001	106.396	6160	5930	12090
-260.000	106.600	-260.000	106.600	5850	5730	11580
-260.000	106.800	-259.996	106.806	6150	5920	12070
-260.000	107.000	-260.002	106.996	5720	5420	11140
-260.000	107.200	-260.004	107.196	5790	5590	11380
-260.000	107.400	-260.001	107.397	6630	5780	12410
-260.000	107.600	-259.996	107.598	5740	5490	11230
-260.000	107.800	-259.995	107.802	5350	5310	10660
-260.000	108.000	-259.995	108.004	5580	5460	11040
-260.000	108.200	-259.999	108.210	5360	5760	11120
-260.000	108.400	-259.997	108.399	6380	5550	11930
-260.000	108.600	-259.997	108.606	6060	5640	11700
-260.000	108.800	-260.000	108.801	6050	5510	11560
-260.000	109.000	-259.999	108.997	6350	5820	12170
-260.000	109.200	-259.996	109.198	6010	5350	11360
-260.000	109.400	-259.995	109.399	5540	5800	11340
-260.000	109.600	-260.005	109.597	5340	5570	10910
-260.000	109.800	-260.000	109.800	6090	5590	11680
-260.000	110.000	-260.000	109.998	6590	5910	12500
-260.000	110.200	-260.000	110.205	5830	5640	11470
-259.800	90.000	-259.800	89.997	5170	4790	9960
-259.800	90.200	-259.798	90.197	5280	4750	10030
-259.800	90.400	-259.805	90.394	4670	4690	9360
-259.800	90.600	-259.796	90.604	4990	4580	9570
-259.800	90.800	-259.803	90.801	5120	4250	9370
-259.800	91.000	-259.798	91.000	5180	5080	10260
-259.800	91.200	-259.801	91.199	5960	5080	11040
-259.800	91.400	-259.803	91.399	6420	5230	11650
-259.800	91.600	-259.801	91.601	7650	5980	13630
-259.800	91.800	-259.799	91.801	7240	6760	14000
-259.800	92.000	-259.802	92.003	7770	6970	14740
-259.800	92.200	-259.801	92.195	7140	7270	14410
-259.800	92.400	-259.800	92.399	7780	7290	15070
-259.800	92.600	-259.806	92.600	8940	7260	16200
-259.800	92.800	-259.804	92.803	8450	7510	15960
-259.800	93.000	-259.801	92.996	9750	8710	18460
-259.800	93.200	-259.798	93.197	9340	9120	18460
-259.800	93.400	-259.798	93.396	9950	9370	19320
-259.800	93.600	-259.803	93.602	10270	9570	19840
-259.800	93.800	-259.802	93.801	11350	10370	21720
-259.800	94.000	-259.801	93.997	10700	10900	21600
-259.800	94.200	-259.801	94.202	11540	11540	23080
-259.800	94.400	-259.794	94.395	11860	11370	23230
-259.800	94.600	-259.801	94.600	13140	11590	24730
-259.800	94.800	-259.796	94.796	13180	11950	25130
-259.800	95.000	-259.802	95.000	13700	12270	25970
-259.800	95.200	-259.802	95.198	13760	12980	26740
