# PL Mapping - 2025_07_23_17_20_47
# X Y Count1 Count2 Total
-20.004 -20.004 2240 2110 4350
-20.003 -15.003 2380 1950 4330
-20.003 -10.005 2980 2600 5580
-19.995 -5.001 2870 3020 5890
-20.000 0.004 2790 2790 5580
-19.999 5.000 2410 2120 4530
-20.007 9.990 2520 2470 4990
-20.002 15.000 2960 2750 5710
-19.998 19.996 1600 1300 2900
-15.000 -20.001 2580 2410 4990
-14.996 -15.002 2870 2740 5610
-15.001 -10.004 2600 2660 5260
-15.000 -4.999 3230 2760 5990
-15.003 0.003 3970 3920 7890
-15.002 4.992 2970 3140 6110
-15.001 10.001 2510 2390 4900
-15.001 15.001 4080 3780 7860
-15.005 20.002 1900 1800 3700
-9.999 -19.996 2960 2870 5830
-10.000 -15.003 3180 2930 6110
-9.998 -10.001 2540 2880 5420
-10.002 -5.002 2750 2890 5640
-10.003 0.002 3240 3200 6440
-10.000 5.003 3640 3760 7400
-10.005 9.999 2380 2460 4840
-9.998 15.000 2950 2920 5870
-9.997 20.000 3330 3630 6960
-5.000 -20.006 3080 2670 5750
-5.000 -15.002 2880 2920 5800
-5.000 -10.000 2480 2710 5190
-5.001 -5.006 3660 3510 7170
-5.002 0.001 3640 3060 6700
-4.999 4.999 3760 3250 7010
-4.999 10.001 2690 2280 4970
-5.001 14.999 2600 2890 5490
-5.001 19.994 3290 3130 6420
0.001 -20.005 2710 2740 5450
0.004 -15.001 2840 2160 5000
0.004 -9.998 2260 2010 4270
0.000 -4.994 2680 2990 5670
0.006 0.004 3510 2940 6450
-0.002 5.004 2340 2420 4760
-0.002 10.001 3280 3450 6730
0.002 15.006 2680 2590 5270
-0.004 19.999 2820 2670 5490
5.002 -19.993 3130 2970 6100
4.999 -15.001 3000 3400 6400
5.000 -10.006 2500 2510 5010
5.005 -5.000 2800 2240 5040
5.006 -0.002 3830 3570 7400
5.003 5.000 2870 2910 5780
5.000 9.999 3350 2980 6330
5.002 15.001 2590 2730 5320
4.995 19.999 2770 2600 5370
10.000 -19.999 2520 2500 5020
10.001 -14.999 2690 2830 5520
9.999 -10.000 2600 2140 4740
9.996 -4.997 2660 2720 5380
9.999 0.005 2670 3020 5690
10.004 5.001 2790 2640 5430
9.996 10.000 2660 2080 4740
10.000 15.000 2890 2680 5570
10.003 20.003 3310 3160 6470
14.999 -19.994 1950 1830 3780
14.997 -14.997 2440 2230 4670
14.998 -10.004 2580 2410 4990
15.002 -4.994 2200 2190 4390
14.995 -0.004 2680 2520 5200
15.000 4.997 3050 3110 6160
14.997 9.996 2460 2190 4650
15.002 15.003 2430 2480 4910
15.002 19.999 2590 2640 5230
20.000 -20.001 1440 1250 2690
20.002 -14.995 5790 4290 10080
20.002 -10.002 2840 2410 5250
20.006 -4.996 2450 2310 4760
20.001 0.002 2480 2520 5000
19.999 5.000 2450 2150 4600
19.997 10.002 3140 3200 6340
20.000 15.003 2630 2370 5000
20.001 20.000 2720 2620 5340
