# Focus	Count
-32.002	4100
-31.902	4300
-31.802	4260
-31.702	3710
-31.602	3960
-31.502	4060
-31.402	4120
-31.302	4340
-31.202	4460
-31.102	4030
-31.002	3790
-30.902	3820
-30.802	3710
-30.702	4330
-30.602	3740
-30.502	3960
-30.402	3640
-30.302	3770
-30.202	3780
-30.102	3880
-30.002	3870
-29.902	4220
-29.802	4000
-29.702	4460
-29.602	3880
-29.502	3830
-29.402	3680
-29.302	3480
-29.202	3910
-29.102	3840
-29.002	3910
-28.902	3960
-28.802	3950
-28.702	3940
-28.602	3670
-28.502	3830
-28.402	3930
-28.302	3980
-28.202	3940
-28.102	4090
-28.002	3640
-27.902	3940
-27.802	3640
-27.702	3950
-27.602	3890
-27.502	3720
-27.402	3710
-27.302	3880
-27.202	3900
-27.102	4210
-27.002	3980
-26.902	3750
-26.802	3900
-26.702	3600
-26.602	3580
-26.502	4070
-26.402	3890
-26.302	4250
-26.202	3770
-26.102	3690
-26.002	4110
-25.902	3930
-25.802	3600
-25.702	4160
-25.602	3660
-25.502	3700
-25.402	3600
-25.302	3940
-25.202	3720
-25.102	3770
-25.002	3810
-24.902	3890
-24.802	3810
-24.702	3470
-24.602	4100
-24.502	4110
-24.402	3890
-24.302	4110
-24.202	3780
-24.102	3900
-24.002	3570
-23.902	3940
-23.802	3590
-23.702	3390
-23.602	4180
-23.502	3880
-23.402	3980
-23.302	3810
-23.202	3790
-23.102	3500
-23.002	3750
-22.902	3820
-22.802	3670
-22.702	3660
-22.602	3810
-22.502	4360
-22.402	4030
-22.302	4010
-22.202	3850
-22.102	4300
-22.002	4100
-21.902	3740
-21.802	3910
-21.702	3790
-21.602	4110
-21.502	3780
-21.402	3810
-21.302	3770
-21.202	4120
-21.102	3640
-21.002	4150
-20.902	4040
-20.802	4180
-20.702	4120
-20.602	3950
-20.502	4010
-20.402	4090
-20.302	4050
-20.202	3910
-20.102	4380
-20.002	3860
-19.902	4100
-19.802	4010
-19.702	3920
-19.602	3650
-19.502	3970
-19.402	3880
-19.302	3910
-19.202	4330
-19.102	4250
-19.002	4150
-18.902	3870
-18.802	3810
-18.702	4260
-18.602	4210
-18.502	4060
-18.402	3940
-18.302	4210
-18.202	4270
-18.102	3930
-18.002	4440
-17.902	3930
-17.802	4160
-17.702	4430
-17.602	4130
-17.502	4510
-17.402	4280
-17.302	4240
-17.202	4030
-17.102	4240
-17.002	4410
-16.902	4740
-16.802	4160
-16.702	4100
-16.602	3840
-16.502	4270
-16.402	4470
-16.302	4370
-16.202	4160
-16.102	4610
-16.002	4350
-15.902	4260
-15.802	4720
-15.702	4680
-15.602	4530
-15.502	4550
-15.402	4180
-15.302	4500
-15.202	4700
-15.102	4540
-15.002	4620
-14.902	4290
-14.802	4670
-14.702	4570
-14.602	4470
-14.502	4380
-14.402	4720
-14.302	4880
-14.202	4780
-14.102	4310
-14.002	4480
-13.902	4330
-13.802	4100
-13.702	4780
-13.602	4710
-13.502	4320
-13.402	4510
-13.302	4610
-13.202	4070
-13.102	4510
-13.002	4680
-12.902	4800
-12.802	4750
-12.702	4760
-12.602	4830
-12.502	4850
-12.402	4520
-12.302	4600
-12.202	4160
-12.102	4860
-12.002	4760
-11.902	4160
-11.802	4420
-11.702	4520
-11.602	4610
-11.502	4240
-11.402	3970
-11.302	4320
-11.202	4750
-11.102	4250
-11.002	4550
-10.902	4200
-10.802	4360
-10.702	3950
-10.602	4390
-10.502	4180
-10.402	4260
-10.302	3970
-10.202	4530
-10.102	4000
-10.002	3920
-9.902	3710
-9.802	3960
-9.702	4110
-9.602	4350
-9.502	3940
-9.402	3700
-9.302	4020
-9.202	3790
-9.102	3690
-9.002	3710
-8.902	3710
-8.802	3370
-8.702	3590
-8.602	3560
-8.502	3450
-8.402	3610
-8.302	3420
-8.202	3460
-8.102	3710
-8.002	3260
-7.902	3670
-7.802	3120
-7.702	3200
-7.602	3080
-7.502	3340
-7.402	3300
-7.302	3080
-7.202	3320
-7.102	3360
-7.002	3280
-6.902	3240
-6.802	3270
-6.702	3220
-6.602	3040
-6.502	3280
-6.402	3180
-6.302	3290
-6.202	2970
-6.102	2820
-6.002	3230
-5.902	3280
-5.802	3220
-5.702	3100
-5.602	2920
-5.502	2850
-5.402	3060
-5.302	2830
-5.202	3200
-5.102	3100
-5.002	2910
-4.902	2770
-4.802	2820
-4.702	2570
-4.602	3170
-4.502	2580
-4.402	2730
-4.302	3000
-4.202	2850
-4.102	2760
-4.002	2750
-3.902	3220
-3.802	2690
-3.702	2930
-3.602	2880
-3.502	2790
-3.402	2710
-3.302	2380
-3.202	2790
-3.102	2950
-3.002	2860
-2.902	2730
-2.802	2890
-2.702	2850
-2.602	2630
-2.502	2470
-2.402	2600
-2.302	2940
-2.202	2730
-2.102	2770
-2.002	2440
-1.902	2490
-1.802	2470
-1.702	2690
-1.602	2730
-1.502	2600
-1.402	2960
-1.302	2910
-1.202	2790
-1.102	2930
-1.002	2770
-0.902	2850
-0.802	2520
-0.702	2750
-0.602	2670
-0.502	2630
-0.402	2900
-0.302	2840
-0.202	2780
-0.102	2780
-0.002	2900
0.098	2910
0.198	2800
0.298	2900
0.398	2600
0.498	2870
0.598	2920
0.698	2910
0.798	3030
0.898	2840
0.998	2480
1.098	2440
1.198	2940
1.298	2380
1.398	2770
1.498	2500
1.598	2700
1.698	2560
1.798	2600
1.898	2720
1.998	2630
2.098	2670
2.198	2710
2.298	2560
2.398	2680
2.498	2550
2.598	2450
2.698	2780
2.798	2920
2.898	2430
2.998	2650
3.098	2660
3.198	2690
3.298	2410
3.398	2720
3.498	2630
3.598	2620
3.698	2580
3.798	2830
3.898	2750
3.998	2450
4.098	2520
4.198	2600
4.298	2550
4.398	2610
4.498	2610
4.598	2840
4.698	2730
4.798	2530
4.898	2370
4.998	2580
5.098	2530
5.198	2900
5.298	2730
5.398	2890
5.498	2970
5.598	2940
5.698	2940
5.798	2430
5.898	2700
5.998	2630
6.098	2700
6.198	2300
6.298	2750
6.398	2760
6.498	2600
6.598	2540
6.698	2440
6.798	2870
6.898	2420
6.998	2790
7.098	2750
7.198	2790
7.298	2650
7.398	2620
7.498	3050
7.598	2750
7.698	2960
7.798	2680
7.898	2460
7.998	2360
