# PL Mapping - 2025_07_23_17_18_17
# X Y Count1 Count2 Total
-20.005 -19.998 1950 1870 3820
-20.001 -19.902 2120 2010 4130
-19.998 -19.797 2150 1790 3940
-20.002 -19.702 2170 1810 3980
-20.001 -19.597 2120 2060 4180
-19.995 -19.497 2120 2490 4610
-20.000 -19.402 2290 2170 4460
-20.001 -19.300 2480 2280 4760
-19.997 -19.198 2250 2420 4670
-20.001 -19.101 2550 2450 5000
-19.999 -19.001 2450 2490 4940
-19.998 -18.902 2420 2260 4680
-19.999 -18.799 2530 2250 4780
-19.996 -18.698 2530 2560 5090
-20.001 -18.601 2580 2490 5070
-20.000 -18.504 2310 2260 4570
-20.000 -18.394 2060 2310 4370
-20.002 -18.297 2460 2270 4730
-20.003 -18.200 2450 2160 4610
-19.999 -18.095 2510 2450 4960
-20.002 -18.000 2320 2110 4430
-19.997 -17.900 2390 2100 4490
-20.003 -17.800 2410 2230 4640
-20.004 -17.699 2350 2120 4470
-20.003 -17.595 2150 2300 4450
-19.999 -17.499 2140 2390 4530
-19.999 -17.400 2380 2230 4610
-19.997 -17.296 2470 2140 4610
-20.003 -17.201 2250 2110 4360
-19.993 -17.098 2020 1950 3970
-20.001 -16.998 2190 2290 4480
-20.003 -16.897 2220 2000 4220
-20.001 -16.800 1900 2280 4180
-20.000 -16.700 1980 1830 3810
-19.998 -16.600 2110 2280 4390
-20.002 -16.498 2090 2130 4220
-20.002 -16.399 2280 1930 4210
-20.004 -16.295 1900 2000 3900
-19.999 -16.198 2330 2010 4340
-19.995 -16.094 1830 2110 3940
-20.000 -15.998 2200 2340 4540
-19.999 -15.905 2060 2120 4180
-20.003 -15.801 2170 1810 3980
-19.998 -15.700 2210 1900 4110
-19.999 -15.598 1960 2120 4080
-19.998 -15.499 2070 2090 4160
-19.998 -15.400 2100 1920 4020
-19.999 -15.298 2290 2010 4300
-19.996 -15.194 2100 2040 4140
-20.000 -15.105 2140 2110 4250
-20.002 -15.005 1890 2120 4010
-20.002 -14.905 2140 2180 4320
-20.002 -14.799 2040 1860 3900
-19.998 -14.698 1920 2060 3980
-20.005 -14.600 2280 1940 4220
-20.006 -14.497 2030 2130 4160
-19.998 -14.397 2490 2220 4710
-20.001 -14.300 2230 1960 4190
-20.000 -14.200 2200 2130 4330
-19.997 -14.094 2060 1910 3970
-19.998 -13.999 2210 2180 4390
-20.002 -13.902 2020 2020 4040
-20.000 -13.800 2280 2180 4460
-19.998 -13.699 2490 2150 4640
-19.998 -13.596 2520 2060 4580
-20.000 -13.498 2480 2020 4500
-19.999 -13.404 2270 2060 4330
-20.003 -13.299 2220 2030 4250
-19.998 -13.201 2320 2040 4360
-19.997 -13.097 2330 2130 4460
-20.002 -13.004 2240 1840 4080
-19.999 -12.900 2280 1940 4220
-20.004 -12.801 2040 1960 4000
-19.998 -12.705 2410 2210 4620
-19.999 -12.597 2070 1930 4000
-20.002 -12.501 2140 1840 3980
-20.003 -12.400 2370 2330 4700
-20.001 -12.298 2250 1900 4150
-19.997 -12.203 2180 1840 4020
-20.002 -12.093 2180 2260 4440
