# PL Mapping - 2025_07_24_12_19_42
# x_req	y_req	x_act	y_act	count1	count2	total
-265.000	85.000	-264.999	84.996	1600	1300	2900
-265.000	85.200	-265.003	85.064	1520	1260	2780
-265.000	85.400	-264.997	85.342	1330	1190	2520
-265.000	85.600	-264.999	85.448	1270	1380	2650
-265.000	85.800	-264.998	85.690	1580	1140	2720
-265.000	86.000	-265.002	85.871	1520	1280	2800
-265.000	86.200	-265.000	86.100	1350	1250	2600
-265.000	86.400	-265.004	86.403	1590	1300	2890
-265.000	86.600	-265.001	86.531	1530	1260	2790
-265.000	86.800	-265.001	86.812	1630	1020	2650
-265.000	87.000	-265.000	86.923	1530	1230	2760
-265.000	87.200	-265.004	87.123	1350	1150	2500
-265.000	87.400	-265.003	87.268	1450	1190	2640
-265.000	87.600	-265.004	87.586	1430	1200	2630
-265.000	87.800	-265.000	87.698	1470	1110	2580
-265.000	88.000	-265.002	87.955	1530	1470	3000
-265.000	88.200	-265.000	88.123	1240	1250	2490
-265.000	88.400	-265.004	88.297	1310	1270	2580
-265.000	88.600	-265.003	88.523	1400	1170	2570
-265.000	88.800	-264.997	88.737	1190	1050	2240
-265.000	89.000	-264.996	88.990	1450	1270	2720
-265.000	89.200	-264.998	89.088	1360	1170	2530
-265.000	89.400	-265.003	89.322	1310	1030	2340
-265.000	89.600	-265.002	89.462	1680	1240	2920
-265.000	89.800	-265.001	89.723	1570	1350	2920
-265.000	90.000	-265.000	89.962	1550	1080	2630
-265.000	90.200	-264.998	90.160	1540	1260	2800
-265.000	90.400	-265.000	90.302	1670	1410	3080
-265.000	90.600	-264.999	90.133	1250	1320	2570
-265.000	90.800	-264.998	90.729	1430	1300	2730
-265.000	91.000	-264.997	90.856	1590	1420	3010
-265.000	91.200	-264.995	91.074	1520	1260	2780
-265.000	91.400	-264.996	91.326	1780	1350	3130
-265.000	91.600	-265.004	91.516	1610	1130	2740
-265.000	91.800	-265.000	91.711	1530	1260	2790
-265.000	92.000	-265.005	91.875	1550	1240	2790
-265.000	92.200	-265.005	92.096	1480	1390	2870
-265.000	92.400	-264.996	92.439	1400	1200	2600
-265.000	92.600	-265.001	92.498	1780	1340	3120
-265.000	92.800	-264.994	92.783	1340	1170	2510
-265.000	93.000	-265.000	92.912	1550	1490	3040
-265.000	93.200	-265.005	93.050	1430	1520	2950
-265.000	93.400	-265.003	93.335	1480	1220	2700
-265.000	93.600	-265.002	93.679	1610	1420	3030
-265.000	93.800	-264.999	93.680	1570	1450	3020
-265.000	94.000	-265.002	93.760	1530	1490	3020
-265.000	94.200	-265.001	94.118	1710	1210	2920
-265.000	94.400	-265.001	94.337	1740	1540	3280
-265.000	94.600	-265.002	94.522	2300	1620	3920
-265.000	94.800	-265.000	94.672	2120	1520	3640
-265.000	95.000	-264.999	94.902	2400	1790	4190
-265.000	95.200	-265.000	95.109	2500	2120	4620
-265.000	95.400	-264.995	95.338	3450	3150	6600
-265.000	95.600	-265.003	95.513	3620	3220	6840
-265.000	95.800	-265.009	95.779	3950	3380	7330
-265.000	96.000	-265.002	95.930	4960	4390	9350
-265.000	96.200	-265.000	96.120	5110	4670	9780
-265.000	96.400	-265.003	96.360	6610	6480	13090
-265.000	96.600	-265.001	96.522	6350	6060	12410
-265.000	96.800	-265.002	96.799	6210	6100	12310
-265.000	97.000	-264.997	96.905	6190	5700	11890
