# PL Mapping - 2025_07_23_16_58_23
# X Y Count1 Count2 Total
-20.004 -19.994 0 2390 2390
-20.001 -14.996 0 2400 2400
-20.001 -9.998 0 2890 2890
-19.998 -5.002 0 2950 2950
-20.002 0.000 0 5320 5320
-20.003 4.997 0 3380 3380
-20.000 9.993 0 3420 3420
-19.999 14.997 0 3770 3770
-20.006 20.000 0 1140 1140
-15.000 -20.008 0 2740 2740
-14.997 -15.000 0 2630 2630
-14.998 -9.997 0 2710 2710
-15.003 -5.003 0 2970 2970
-14.996 0.001 0 4560 4560
-14.999 5.002 0 3110 3110
-14.999 9.997 0 2990 2990
-15.003 14.998 0 3740 3740
-14.997 19.999 0 1960 1960
-10.002 -20.003 0 3300 3300
-9.999 -15.001 0 2660 2660
-10.002 -10.001 0 2620 2620
-10.002 -5.001 0 2950 2950
-10.004 -0.000 0 3350 3350
-9.999 5.001 0 5050 5050
-9.996 10.003 0 2380 2380
-9.999 14.997 0 3060 3060
-10.000 19.999 0 3690 3690
-4.998 -19.996 0 3120 3120
-5.002 -15.002 0 3330 3330
-5.001 -9.996 0 2320 2320
-4.999 -4.997 0 3830 3830
-5.000 0.001 0 3490 3490
-4.996 5.005 0 3180 3180
-4.998 10.003 0 2770 2770
-5.002 14.999 0 3060 3060
-5.000 20.000 0 3840 3840
0.004 -20.005 0 2800 2800
0.003 -14.998 0 2970 2970
-0.003 -9.999 0 2000 2000
0.002 -5.003 0 2800 2800
-0.001 -0.000 0 2990 2990
-0.000 4.996 0 3290 3290
0.002 9.997 0 3490 3490
0.001 15.000 0 2660 2660
-0.003 19.996 0 3150 3150
5.000 -20.003 0 3440 3440
5.001 -15.002 0 2550 2550
5.000 -10.001 0 2710 2710
5.003 -4.996 0 2580 2580
5.002 0.003 0 3540 3540
5.000 5.000 0 3380 3380
4.999 9.998 0 3290 3290
5.002 14.999 0 2760 2760
5.001 20.003 0 3120 3120
9.999 -19.998 0 2420 2420
9.995 -14.998 0 2810 2810
9.998 -9.999 0 2880 2880
10.000 -5.000 0 2200 2200
10.000 0.005 0 3230 3230
10.001 4.998 0 2660 2660
10.001 9.995 0 2690 2690
9.999 14.996 0 2660 2660
10.000 19.997 0 2760 2760
14.999 -20.005 0 1890 1890
14.995 -15.005 0 2910 2910
15.004 -9.993 0 2870 2870
14.997 -5.000 0 2210 2210
15.000 -0.001 0 2600 2600
15.004 4.997 0 2420 2420
14.999 9.998 0 2440 2440
15.003 14.999 0 2580 2580
15.001 19.999 0 2650 2650
20.001 -19.997 0 1420 1420
19.994 -15.002 0 4490 4490
20.003 -10.002 0 2470 2470
20.001 -5.001 0 2600 2600
20.002 -0.001 0 3200 3200
19.998 5.005 0 2440 2440
19.996 10.000 0 3470 3470
20.000 15.002 0 2570 2570
20.000 19.999 0 2350 2350
