# PL Mapping - 2025_07_23_17_37_10
# X Y Count1 Count2 Total
-20.000 -19.997 2240 2300 4540
-19.998 -19.002 2240 2180 4420
-20.004 -17.999 2450 2170 4620
-20.002 -16.998 2070 2160 4230
-19.996 -16.000 2310 2110 4420
-20.004 -15.007 2750 2320 5070
-20.000 -13.997 2400 2440 4840
-19.998 -13.004 2420 2300 4720
-20.003 -11.996 2090 2440 4530
-20.002 -10.998 2540 2580 5120
-19.998 -9.998 2700 2740 5440
-20.000 -9.001 2830 2870 5700
-20.000 -8.002 3120 3100 6220
-20.001 -6.998 3640 3590 7230
-20.002 -5.999 3470 3430 6900
-19.997 -4.999 3310 3260 6570
-19.996 -3.999 3550 3660 7210
-20.000 -3.000 2840 2750 5590
-20.002 -1.999 3530 3040 6570
-19.996 -1.002 3500 3130 6630
-20.005 0.001 3470 2940 6410
-20.000 1.000 3090 2960 6050
-20.000 2.001 2590 2570 5160
-20.000 3.000 2840 2420 5260
-19.999 3.999 2370 2340 4710
-19.999 4.997 2180 1840 4020
-20.003 6.002 2740 2590 5330
-20.000 6.997 2620 2400 5020
-20.004 8.003 2390 2400 4790
-19.998 9.001 2640 2290 4930
-20.000 10.002 2260 2260 4520
