# PL Mapping - 2025_07_24_10_14_46
# x_req	y_req	x_act	y_act	count1	count2	total
-0.197	22.395	-0.195	22.398	1990	1640	3630
-0.197	22.495	-0.199	22.498	2290	1930	4220
-0.197	22.595	-0.194	22.591	2300	2090	4390
-0.197	22.695	-0.196	22.693	2150	1780	3930
-0.197	22.795	-0.198	22.795	2020	1940	3960
-0.197	22.895	-0.194	22.896	2150	1890	4040
-0.197	22.995	-0.198	22.998	2120	1430	3550
-0.197	23.095	-0.195	23.094	2210	1660	3870
-0.197	23.195	-0.198	23.203	2170	1830	4000
-0.197	23.295	-0.196	23.293	1720	1820	3540
-0.197	23.395	-0.195	23.392	2130	1920	4050
-0.197	23.495	-0.197	23.502	2180	1600	3780
-0.197	23.595	-0.199	23.594	1930	2050	3980
-0.197	23.695	-0.199	23.699	1960	1990	3950
-0.197	23.795	-0.194	23.797	2130	1940	4070
-0.197	23.895	-0.199	23.898	2040	2070	4110
-0.197	23.995	-0.196	23.995	2170	2310	4480
-0.197	24.095	-0.198	24.095	2000	1940	3940
-0.197	24.195	-0.194	24.198	2200	2140	4340
-0.197	24.295	-0.200	24.291	2350	1820	4170
-0.197	24.395	-0.196	24.394	2220	1880	4100
-0.197	24.495	-0.194	24.497	2250	2030	4280
-0.097	22.395	-0.098	22.397	1840	2110	3950
-0.097	22.495	-0.096	22.495	1870	2000	3870
-0.097	22.595	-0.098	22.592	2330	1780	4110
-0.097	22.695	-0.096	22.696	2100	1790	3890
-0.097	22.795	-0.100	22.796	1970	1810	3780
-0.097	22.895	-0.090	22.896	2200	1710	3910
-0.097	22.995	-0.095	22.993	2020	1830	3850
-0.097	23.095	-0.095	23.089	1990	1990	3980
-0.097	23.195	-0.097	23.195	2080	1770	3850
-0.097	23.295	-0.097	23.295	2020	1920	3940
-0.097	23.395	-0.096	23.392	2000	1820	3820
-0.097	23.495	-0.096	23.495	2080	2140	4220
-0.097	23.595	-0.095	23.598	2220	2160	4380
-0.097	23.695	-0.098	23.700	2070	1800	3870
-0.097	23.795	-0.094	23.796	2130	2340	4470
-0.097	23.895	-0.099	23.901	1980	2040	4020
-0.097	23.995	-0.096	23.994	2160	1910	4070
-0.097	24.095	-0.093	24.094	2210	2010	4220
-0.097	24.195	-0.094	24.193	2030	2200	4230
-0.097	24.295	-0.096	24.290	2300	2030	4330
-0.097	24.395	-0.100	24.396	1890	1920	3810
-0.097	24.495	-0.094	24.492	2030	2050	4080
0.003	22.395	0.004	22.399	2410	2080	4490
0.003	22.495	0.005	22.497	2100	1840	3940
0.003	22.595	0.002	22.595	2290	1860	4150
0.003	22.695	-0.003	22.697	2150	1790	3940
0.003	22.795	0.003	22.793	1910	1840	3750
0.003	22.895	0.002	22.898	2210	2090	4300
0.003	22.995	0.006	22.995	2120	1690	3810
0.003	23.095	0.007	23.091	2000	1830	3830
0.003	23.195	0.002	23.194	1930	1910	3840
0.003	23.295	0.003	23.292	2320	1960	4280
0.003	23.395	0.002	23.396	1980	2020	4000
0.003	23.495	0.000	23.497	2230	1940	4170
0.003	23.595	0.001	23.595	1990	1710	3700
0.003	23.695	0.003	23.697	2100	2000	4100
0.003	23.795	-0.000	23.795	2130	2020	4150
0.003	23.895	0.003	23.897	2430	1760	4190
0.003	23.995	0.002	23.998	2220	2100	4320
0.003	24.095	0.002	24.099	2190	1850	4040
0.003	24.195	0.001	24.196	2010	1930	3940
0.003	24.295	0.001	24.296	1890	1830	3720
0.003	24.395	0.005	24.396	1820	1830	3650
0.003	24.495	-0.000	24.495	2120	1900	4020
0.103	22.395	0.106	22.388	1850	1840	3690
0.103	22.495	0.104	22.494	2050	1760	3810
0.103	22.595	0.106	22.591	1850	1790	3640
0.103	22.695	0.106	22.696	1950	1650	3600
0.103	22.795	0.106	22.794	2000	1830	3830
0.103	22.895	0.099	22.892	1910	1790	3700
0.103	22.995	0.102	22.990	2010	1780	3790
0.103	23.095	0.103	23.097	2010	1990	4000
0.103	23.195	0.104	23.198	2240	1820	4060
0.103	23.295	0.100	23.294	2520	2040	4560
0.103	23.395	0.102	23.396	1730	1930	3660
0.103	23.495	0.098	23.493	1880	1560	3440
0.103	23.595	0.103	23.598	2350	1830	4180
0.103	23.695	0.102	23.690	2180	2160	4340
0.103	23.795	0.105	23.795	2080	2440	4520
0.103	23.895	0.100	23.896	2180	2140	4320
0.103	23.995	0.100	23.990	2190	1920	4110
0.103	24.095	0.099	24.095	1870	1770	3640
0.103	24.195	0.101	24.190	2250	1830	4080
0.103	24.295	0.102	24.293	2200	2130	4330
0.103	24.395	0.100	24.398	2000	1860	3860
0.103	24.495	0.102	24.494	1870	1750	3620
0.203	22.395	0.205	22.394	1940	1610	3550
0.203	22.495	0.206	22.496	1780	2010	3790
0.203	22.595	0.207	22.597	1890	1910	3800
0.203	22.695	0.201	22.696	1570	1760	3330
0.203	22.795	0.201	22.796	1970	1780	3750
0.203	22.895	0.202	22.897	1930	1600	3530
0.203	22.995	0.204	22.994	1920	1890	3810
0.203	23.095	0.203	23.094	1920	1910	3830
0.203	23.195	0.202	23.196	1780	1660	3440
0.203	23.295	0.203	23.297	2460	2090	4550
0.203	23.395	0.206	23.393	2380	2100	4480
0.203	23.495	0.202	23.501	2310	2000	4310
0.203	23.595	0.205	23.594	2410	2050	4460
0.203	23.695	0.202	23.697	2070	1960	4030
0.203	23.795	0.202	23.797	2200	1960	4160
0.203	23.895	0.207	23.897	2400	2100	4500
0.203	23.995	0.209	23.994	2080	2110	4190
0.203	24.095	0.203	24.095	2430	1940	4370
