# Focus	Count
-16.996	6970
-16.896	6970
-16.796	6970
-16.696	6970
-16.596	6200
-16.496	6200
-16.396	6200
-16.296	7050
-16.196	7050
-16.096	7050
-15.996	6360
-15.896	6360
-15.796	6360
-15.696	6650
-15.596	6790
-15.496	6790
-15.396	6990
-15.296	6990
-15.196	6500
-15.096	6720
-14.996	7310
-14.896	7160
-14.796	7260
-14.696	7260
-14.596	7550
-14.496	7550
-14.396	7580
-14.296	7250
-14.196	7250
-14.096	7620
-13.996	7500
-13.896	7500
-13.796	7760
-13.696	7760
-13.596	7550
-13.496	7550
-13.396	7860
-13.296	8230
-13.196	7350
-13.096	7350
-12.996	7350
-12.896	7880
-12.796	7860
-12.696	7860
-12.596	7860
-12.496	7340
-12.396	7340
-12.296	7780
-12.196	7780
-12.096	7780
-11.996	8280
-11.896	8000
-11.796	8120
-11.696	8120
-11.596	7470
-11.496	7470
-11.396	8610
-11.296	8610
-11.196	7920
-11.096	8200
-10.996	8260
-10.896	7980
-10.796	7980
-10.696	8200
-10.596	8200
-10.496	7880
-10.396	8110
-10.296	8110
-10.196	8040
-10.096	8040
-9.996	8380
-9.896	8070
-9.796	8070
-9.696	8510
-9.596	7970
-9.496	7970
-9.396	8350
-9.296	7800
-9.196	7630
-9.096	7630
-8.996	7630
-8.896	7630
-8.796	7780
-8.696	7780
-8.596	7300
-8.496	6650
-8.396	6650
-8.296	6650
-8.196	6650
-8.096	7170
-7.996	6840
-7.896	6840
-7.796	7110
-7.696	6080
-7.596	6080
-7.496	6620
-7.396	6450
-7.296	6410
-7.196	6410
-7.096	6520
-6.996	6140
-6.896	6140
