# Focus	Count
-17.003	8300
-16.903	8090
-16.803	8640
-16.703	8390
-16.603	8110
-16.503	8270
-16.403	8270
-16.303	8610
-16.203	8330
-16.103	8760
-16.003	8420
-15.903	8580
-15.803	7960
-15.703	8340
-15.603	8360
-15.503	8550
-15.403	8260
-15.303	8530
-15.203	8450
-15.103	8580
-15.003	8290
-14.903	8300
-14.803	7990
-14.703	8430
-14.603	8080
-14.503	8120
-14.403	8680
-14.303	7340
-14.203	8310
-14.103	8110
-14.003	8390
-13.903	8010
-13.803	8170
-13.703	8670
-13.603	8720
-13.503	8450
-13.403	8390
-13.303	8370
-13.203	8460
-13.103	8510
-13.003	8150
-12.903	8370
-12.803	8170
-12.703	8830
-12.603	8850
-12.503	8330
-12.403	8670
-12.303	7500
-12.203	8310
-12.103	8310
-12.003	8010
-11.903	8740
-11.803	8340
-11.703	8660
-11.603	8300
-11.503	8010
-11.403	8410
-11.303	8760
-11.203	8370
-11.103	8200
-11.003	8920
-10.903	8230
-10.803	8000
-10.703	7900
-10.603	8180
-10.503	8380
-10.403	8430
-10.303	7730
-10.203	8470
-10.103	8700
-10.003	8820
-9.903	8660
-9.803	8570
-9.703	8720
-9.603	8910
-9.503	8980
-9.403	8270
-9.303	8830
-9.203	7730
-9.103	8740
-9.003	8310
-8.903	8570
-8.803	8380
-8.703	8740
-8.603	8580
-8.503	8900
-8.403	8710
-8.303	8140
-8.203	8830
-8.103	8790
-8.003	8940
-7.903	8460
-7.803	8590
-7.703	8610
-7.603	8230
-7.503	8850
-7.403	8450
-7.303	8740
-7.203	8310
-7.103	8510
-7.003	8590
-6.903	8420
-6.803	8480
-6.703	8710
-6.603	8710
-6.503	8710
-6.403	9370
-6.303	9390
-6.203	8910
-6.103	8690
-6.003	9060
-5.903	8450
-5.803	8600
-5.703	8830
-5.603	8370
-5.503	8550
-5.403	8640
-5.303	9110
-5.203	8640
-5.103	8530
-5.003	9510
-4.903	8460
-4.803	8850
-4.703	8780
-4.603	8630
-4.503	8830
-4.403	9360
-4.303	8900
-4.203	8790
-4.103	8350
-4.003	9130
-3.903	8230
-3.803	8830
-3.703	9350
-3.603	9420
-3.503	9130
-3.403	8730
-3.303	8960
-3.203	8930
-3.103	9480
-3.003	8940
-2.903	9050
-2.803	9190
-2.703	8860
-2.603	9010
-2.503	8720
-2.403	9370
-2.303	9310
-2.203	8340
-2.103	8600
-2.003	8790
-1.903	8870
-1.803	9000
-1.703	8470
-1.603	9210
-1.503	8720
-1.403	8500
-1.303	8930
-1.203	9300
-1.103	9190
-1.003	9560
-0.903	8510
-0.803	9020
-0.703	9660
-0.603	9010
-0.503	9360
-0.403	8600
-0.303	9250
-0.203	9640
-0.103	9800
-0.003	8660
0.097	9540
0.197	8930
0.297	9340
0.397	9390
0.497	8970
0.597	9680
0.697	9210
0.797	9730
0.897	8690
0.997	9170
1.097	9110
1.197	9560
1.297	9250
1.397	9400
1.497	9540
1.597	9850
1.697	9530
1.797	9440
1.897	9480
1.997	9910
2.097	9580
2.197	9100
2.297	9610
2.397	10650
2.497	10040
2.597	9680
2.697	10340
2.797	9850
2.897	9780
2.997	9580
3.097	9820
3.197	9900
3.297	10460
3.397	10080
3.497	10170
3.597	9790
3.697	10500
3.797	10140
3.897	10230
3.997	10000
4.097	10550
4.197	10290
4.297	10090
4.397	10700
4.497	9760
4.597	10250
4.697	10310
4.797	10010
4.897	10210
4.997	10020
5.097	10330
5.197	10550
5.297	9730
5.397	9960
5.497	10950
5.597	10440
5.697	10430
5.797	11180
5.897	11470
5.997	10490
6.097	10920
6.197	10740
6.297	11440
6.397	10860
6.497	11070
6.597	10930
6.697	10670
6.797	11420
6.897	10830
6.997	11140
7.097	11560
7.197	10730
7.297	11060
7.397	10640
7.497	11420
7.597	10910
7.697	10710
7.797	11220
7.897	11320
7.997	11050
8.097	11050
8.197	11170
8.297	11400
8.397	11030
8.497	10730
8.597	11390
8.697	10690
8.797	10680
8.897	11810
8.997	11390
9.097	11280
9.197	10950
9.297	11780
9.397	11040
9.497	11270
9.597	10550
9.697	11410
9.797	11530
9.897	11290
9.997	11080
10.097	11120
10.197	11250
10.297	11170
10.397	10970
10.497	10720
10.597	10890
10.697	11600
10.797	11010
10.897	10870
10.997	10210
11.097	10280
11.197	10180
11.297	10350
11.397	9900
11.497	10390
11.597	10100
11.697	9790
11.797	10070
11.897	10420
11.997	9620
12.097	9490
12.197	9090
12.297	9420
12.397	8780
12.497	8930
12.597	8730
12.697	8330
12.797	8480
12.897	8440
12.997	7450
13.097	7460
13.197	7830
13.297	7960
13.397	7770
13.497	7390
13.597	7570
13.697	8040
13.797	7220
13.897	7340
13.997	7370
14.097	7270
14.197	7090
14.297	6990
14.397	6490
