# Focus	Count
-12.109	5600
-12.009	5610
-11.909	5170
-11.809	5140
-11.709	5020
-11.609	5320
-11.509	4810
-11.409	5130
-11.309	4680
-11.209	4990
-11.109	4720
-11.009	4900
-10.909	4410
-10.809	4590
-10.709	4150
-10.609	4450
-10.509	4360
-10.409	4570
-10.309	4110
-10.209	4340
-10.109	4790
-10.009	4320
-9.909	4390
-9.809	4140
-9.709	4120
-9.609	4250
-9.509	4010
-9.409	3950
-9.309	3860
-9.209	4040
-9.109	3840
-9.009	3700
-8.909	3910
-8.809	3850
-8.709	3780
-8.609	3450
-8.509	3570
-8.409	3680
-8.309	3880
-8.209	3960
-8.109	3840
-8.009	3230
-7.909	3610
-7.809	3790
-7.709	3170
-7.609	3720
-7.509	3690
-7.409	3070
-7.309	3190
-7.209	3420
-7.109	3310
-7.009	3390
-6.909	3390
-6.809	3340
-6.709	3480
-6.609	3270
-6.509	3300
-6.409	2970
-6.309	3270
-6.209	2860
-6.109	2710
-6.009	3030
-5.909	3070
-5.809	2850
-5.709	2840
-5.609	3080
-5.509	3310
-5.409	2740
-5.309	2930
-5.209	3060
-5.109	3030
-5.009	2840
-4.909	2950
-4.809	3010
-4.709	3160
-4.609	2970
-4.509	2680
-4.409	2720
-4.309	2950
-4.209	2650
-4.109	2770
-4.009	3050
-3.909	2990
-3.809	3190
-3.709	2520
-3.609	2790
-3.509	2930
-3.409	2480
-3.309	3000
-3.209	2780
-3.109	2890
-3.009	2930
-2.909	2850
-2.809	2980
-2.709	2730
-2.609	2740
-2.509	2770
-2.409	2950
-2.309	2760
-2.209	2550
-2.109	2580
