# PL Mapping - 2025_07_30_11_17_43
# x_req	y_req	x_act	y_act	count1	count2	total
-20.000	-20.000	-19.997	-20.001	30	80	110
-20.000	-19.000	-20.001	-19.001	70	0	70
-20.000	-18.000	-19.996	-18.001	30	40	70
-20.000	-17.000	-20.004	-17.002	80	20	100
-20.000	-16.000	-20.002	-15.996	100	80	180
-20.000	-15.000	-19.999	-14.997	70	30	100
-20.000	-14.000	-19.998	-13.997	80	70	150
-20.000	-13.000	-19.996	-13.001	90	70	160
-20.000	-12.000	-20.000	-12.001	130	80	210
-20.000	-11.000	-19.998	-11.002	50	90	140
-20.000	-10.000	-20.001	-10.004	90	170	260
-20.000	-9.000	-20.004	-9.003	50	40	90
-20.000	-8.000	-20.001	-7.999	50	100	150
-20.000	-7.000	-19.999	-6.995	50	100	150
-20.000	-6.000	-20.003	-5.999	20	60	80
-20.000	-5.000	-19.999	-4.995	10	50	60
-20.000	-4.000	-19.998	-3.998	20	50	70
-20.000	-3.000	-19.997	-2.997	20	30	50
-20.000	-2.000	-20.001	-1.999	0	40	40
-20.000	-1.000	-20.000	-0.995	40	30	70
-20.000	0.000	-20.000	-0.000	0	20	20
-20.000	1.000	-19.997	1.003	30	10	40
-20.000	2.000	-20.004	2.004	10	20	30
-20.000	3.000	-19.998	2.996	20	0	20
-20.000	4.000	-19.996	4.005	30	40	70
-20.000	5.000	-19.999	5.006	0	0	0
-20.000	6.000	-20.001	6.001	0	0	0
-20.000	7.000	-20.001	7.010	30	30	60
-20.000	8.000	-20.001	8.003	60	10	70
-20.000	9.000	-20.001	9.000	40	10	50
-20.000	10.000	-20.004	9.998	30	30	60
-20.000	11.000	-20.001	10.994	10	10	20
-20.000	12.000	-19.998	11.997	20	0	20
-20.000	13.000	-20.003	12.997	60	20	80
-20.000	14.000	-19.997	14.005	20	40	60
-20.000	15.000	-19.998	14.993	0	30	30
-20.000	16.000	-20.001	15.998	10	10	20
-20.000	17.000	-19.995	16.998	40	0	40
-20.000	18.000	-20.003	18.000	10	30	40
-20.000	19.000	-20.004	18.994	40	20	60
-20.000	20.000	-20.005	19.998	30	10	40
-19.000	-20.000	-19.001	-19.994	50	60	110
-19.000	-19.000	-19.002	-18.997	30	20	50
-19.000	-18.000	-19.001	-18.005	50	50	100
-19.000	-17.000	-19.000	-16.999	40	30	70
-19.000	-16.000	-19.000	-15.997	130	50	180
-19.000	-15.000	-19.002	-15.002	80	60	140
-19.000	-14.000	-19.000	-14.004	110	40	150
-19.000	-13.000	-18.998	-12.996	110	100	210
-19.000	-12.000	-18.998	-12.000	80	70	150
-19.000	-11.000	-18.993	-11.004	110	70	180
-19.000	-10.000	-18.998	-9.997	50	60	110
-19.000	-9.000	-19.004	-8.997	30	50	80
-19.000	-8.000	-19.001	-7.997	70	90	160
-19.000	-7.000	-18.999	-7.001	90	80	170
-19.000	-6.000	-18.999	-6.001	40	60	100
-19.000	-5.000	-19.001	-4.995	20	80	100
