# PL Mapping - 2025_07_23_17_22_53
# X Y Count1 Count2 Total
-20.001 -19.996 2130 2160 4290
-20.000 -15.001 2450 2280 4730
-19.999 -10.003 2520 2260 4780
-20.001 -5.006 3570 3540 7110
-20.001 0.004 2980 3250 6230
-20.001 5.002 2500 2340 4840
-20.001 10.009 2870 2570 5440
-19.997 15.003 3470 2940 6410
-19.999 20.005 1390 1410 2800
-14.998 -19.989 2490 2420 4910
-15.000 -15.002 2420 2200 4620
-14.998 -10.001 3110 2680 5790
-15.002 -4.996 3320 3130 6450
-15.000 0.006 4100 3930 8030
-14.999 5.000 3040 2460 5500
-15.002 10.000 2730 2190 4920
-15.003 14.998 3400 3490 6890
-14.999 19.998 2070 1760 3830
-9.999 -20.004 2590 2260 4850
-9.999 -14.998 2980 2670 5650
-10.003 -9.998 2690 2760 5450
-9.999 -5.002 3170 3220 6390
-9.996 -0.003 4030 3520 7550
-9.996 4.998 3770 3750 7520
-10.000 10.006 2600 2710 5310
-10.000 15.005 2570 2490 5060
-9.998 19.997 3620 2910 6530
-4.996 -20.003 2700 2510 5210
-4.998 -14.996 2880 3010 5890
-4.998 -9.995 2620 2720 5340
-5.007 -4.995 4150 3790 7940
-4.998 -0.001 3580 3610 7190
-5.001 4.986 3860 3730 7590
-5.003 9.992 2800 2930 5730
-4.998 14.996 2670 2830 5500
-5.001 19.999 2850 3300 6150
0.003 -20.020 3510 3530 7040
0.001 -14.996 2700 2710 5410
-0.002 -9.997 2260 2470 4730
-0.003 -4.995 2760 2870 5630
-0.001 -0.003 2780 2890 5670
0.002 5.000 3100 3090 6190
0.000 10.002 3440 3280 6720
0.002 14.996 2470 2350 4820
-0.001 19.998 2830 2950 5780
5.003 -20.001 2840 2870 5710
5.002 -15.001 2460 2440 4900
5.000 -10.000 2420 2220 4640
5.001 -5.003 2890 2360 5250
4.999 -0.001 3280 3560 6840
5.004 5.004 2970 3060 6030
5.004 10.011 3260 2820 6080
5.002 14.998 2520 2790 5310
4.998 19.999 2430 2640 5070
10.000 -20.007 3050 2840 5890
10.006 -15.002 3140 3000 6140
9.998 -10.006 2580 3030 5610
10.003 -4.996 2240 2250 4490
9.996 0.006 3180 3060 6240
10.002 4.993 2640 2510 5150
10.001 10.000 2610 2090 4700
9.999 15.001 2920 2420 5340
10.002 19.997 2790 2640 5430
14.997 -19.999 1970 1720 3690
14.998 -14.999 2830 3030 5860
15.004 -10.001 2570 2540 5110
15.004 -5.002 2210 2240 4450
15.002 -0.004 2810 2670 5480
14.997 4.996 2620 2350 4970
15.000 10.002 2520 2710 5230
14.997 14.998 2860 2850 5710
14.997 20.004 3040 2870 5910
20.003 -19.997 1680 1190 2870
19.999 -14.999 4800 3800 8600
20.002 -10.005 2530 2470 5000
19.998 -5.001 2360 2550 4910
19.997 0.001 2750 2750 5500
20.000 5.002 3060 2900 5960
20.001 10.001 3130 3030 6160
20.001 14.998 2410 2650 5060
20.001 20.004 2960 2660 5620
