# PL Mapping - 2025_07_23_17_11_40
# X Y Count1 Count2 Total
-20.001 -19.998 2550 2170 4720
-20.002 -15.001 2800 2650 5450
-20.002 -10.005 2910 3210 6120
-20.005 -5.000 3460 3560 7020
-20.002 0.006 3950 4410 8360
-19.998 4.994 3700 3580 7280
-19.998 9.996 3190 3570 6760
-19.997 14.995 3680 4160 7840
-20.000 20.001 1500 1200 2700
-14.999 -19.994 3830 3340 7170
-15.000 -15.002 2960 2680 5640
-14.997 -9.999 2830 2810 5640
-15.001 -5.000 3200 3190 6390
-15.000 -0.000 4310 3850 8160
-15.002 5.007 3710 3570 7280
-14.999 9.998 2990 2490 5480
-14.995 15.004 4100 4150 8250
-15.000 20.002 2190 2090 4280
-10.000 -19.996 2960 2990 5950
-9.998 -15.000 3150 2810 5960
-9.998 -9.998 2870 3010 5880
-9.997 -5.002 2780 2620 5400
-10.005 0.001 3440 3660 7100
-10.002 4.999 4880 4970 9850
-10.000 10.000 3000 2830 5830
-9.997 14.992 3430 3700 7130
-10.001 19.997 3740 3390 7130
-5.001 -19.987 3760 3590 7350
-5.001 -15.003 3220 4020 7240
-5.002 -9.999 2860 2550 5410
-4.999 -5.000 4050 3840 7890
-4.995 0.005 3430 3360 6790
-4.997 4.996 4200 4010 8210
-4.997 10.002 3100 2760 5860
-5.000 15.004 3020 3040 6060
-5.003 20.004 3420 3610 7030
0.004 -20.005 2850 2960 5810
-0.001 -14.998 3080 3300 6380
0.002 -9.999 2620 2260 4880
0.001 -4.997 3170 3080 6250
-0.000 -0.001 3090 2960 6050
0.001 4.996 2790 2720 5510
-0.002 9.993 3780 3990 7770
-0.001 14.995 3260 3250 6510
0.002 19.997 3500 3660 7160
4.997 -20.003 3120 2990 6110
5.001 -14.997 3030 3340 6370
5.004 -9.996 2780 2590 5370
4.995 -5.001 2780 2440 5220
5.000 -0.004 4170 3870 8040
4.998 5.002 3260 3140 6400
5.001 9.998 3210 3200 6410
4.998 14.994 3260 3100 6360
5.000 20.002 3060 2780 5840
9.999 -19.997 2850 2610 5460
9.999 -14.997 2560 2830 5390
9.998 -9.995 2750 2480 5230
10.000 -5.002 2690 2710 5400
10.000 0.002 2830 2990 5820
10.000 5.002 3120 3000 6120
10.002 10.005 2880 2770 5650
10.003 14.993 3650 3270 6920
10.003 19.999 3010 2720 5730
15.000 -19.997 1900 1680 3580
15.000 -15.002 3040 3100 6140
14.998 -9.998 2830 2560 5390
14.997 -4.998 3090 2960 6050
15.004 0.000 3110 3000 6110
15.005 5.010 2870 2350 5220
15.000 9.995 2730 2310 5040
15.000 14.998 2700 2600 5300
14.998 20.002 2820 2630 5450
20.001 -20.004 1330 1640 2970
19.998 -14.997 5500 4110 9610
20.002 -10.006 2580 2630 5210
20.002 -4.991 2680 2380 5060
19.999 -0.004 2630 2970 5600
19.999 5.000 2590 2670 5260
19.995 9.997 3220 2760 5980
20.004 15.003 2670 2360 5030
19.999 19.995 1970 1990 3960
