# PL Mapping - 2025_07_30_10_35_49
# x_req	y_req	x_act	y_act	count1	count2	total
-20.000	-20.000	-19.998	-19.995	43050	43030	86080
-20.000	-19.000	-20.003	-18.997	46300	47180	93480
-20.000	-18.000	-19.999	-17.993	51020	52590	103610
-20.000	-17.000	-20.000	-17.003	50090	50350	100440
-20.000	-16.000	-20.002	-15.999	48840	49700	98540
-20.000	-15.000	-20.002	-14.993	47910	48730	96640
-20.000	-14.000	-20.004	-14.002	53100	54130	107230
-20.000	-13.000	-19.999	-13.001	65000	66510	131510
-20.000	-12.000	-20.000	-12.005	65280	67490	132770
-20.000	-11.000	-20.004	-10.998	55350	57450	112800
-20.000	-10.000	-19.999	-9.998	45730	47510	93240
-20.000	-9.000	-19.997	-8.988	44490	45060	89550
-20.000	-8.000	-20.000	-7.994	43890	44700	88590
-20.000	-7.000	-19.998	-6.995	41230	41810	83040
-20.000	-6.000	-20.001	-5.993	40940	42340	83280
-20.000	-5.000	-20.001	-4.995	38560	39950	78510
-20.000	-4.000	-19.999	-4.004	39120	39900	79020
-20.000	-3.000	-20.002	-3.003	41890	43770	85660
-20.000	-2.000	-19.998	-1.998	43120	44830	87950
-20.000	-1.000	-20.002	-1.000	39920	38990	78910
-20.000	0.000	-19.999	0.006	35070	37520	72590
-20.000	1.000	-19.997	1.000	33150	34290	67440
-20.000	2.000	-20.003	2.000	31590	32450	64040
-20.000	3.000	-19.996	3.005	32730	33450	66180
-20.000	4.000	-20.001	4.008	32130	30840	62970
-20.000	5.000	-20.003	5.003	30420	31000	61420
-20.000	6.000	-20.003	5.993	29490	29060	58550
-20.000	7.000	-19.999	7.001	27660	27960	55620
-20.000	8.000	-19.999	8.001	25140	25520	50660
-20.000	9.000	-19.998	9.002	25650	25560	51210
-20.000	10.000	-20.005	10.005	25940	26040	51980
-20.000	11.000	-20.002	10.999	26700	26790	53490
-20.000	12.000	-20.001	11.995	26630	25220	51850
-20.000	13.000	-20.002	13.008	27200	26510	53710
-20.000	14.000	-19.993	14.006	27350	25350	52700
-20.000	15.000	-19.999	14.998	26480	26970	53450
-20.000	16.000	-19.998	16.003	26630	27570	54200
-20.000	17.000	-19.999	16.992	29110	28780	57890
-20.000	18.000	-20.004	17.996	27500	27780	55280
-20.000	19.000	-20.001	18.996	27890	27420	55310
-20.000	20.000	-19.998	20.017	27670	27000	54670
-19.000	-20.000	-18.999	-20.002	35380	35530	70910
-19.000	-19.000	-19.004	-18.998	40560	40180	80740
-19.000	-18.000	-19.002	-17.997	45030	43730	88760
-19.000	-17.000	-19.001	-16.997	45380	45990	91370
-19.000	-16.000	-19.002	-16.001	44960	45990	90950
-19.000	-15.000	-18.998	-14.991	44400	46290	90690
-19.000	-14.000	-18.998	-14.004	47320	48070	95390
-19.000	-13.000	-18.997	-13.007	47270	47840	95110
-19.000	-12.000	-19.002	-12.001	49670	50120	99790
-19.000	-11.000	-19.000	-11.003	44380	44710	89090
-19.000	-10.000	-19.003	-9.994	39830	39520	79350
-19.000	-9.000	-18.998	-8.998	38900	40860	79760
-19.000	-8.000	-19.002	-7.996	38620	41520	80140
-19.000	-7.000	-18.999	-6.999	38590	39970	78560
-19.000	-6.000	-19.003	-5.995	36910	38580	75490
-19.000	-5.000	-19.001	-4.998	38360	39410	77770
-19.000	-4.000	-19.005	-3.999	37890	39440	77330
-19.000	-3.000	-19.000	-2.996	39660	40750	80410
-19.000	-2.000	-19.004	-2.001	41170	41750	82920
-19.000	-1.000	-18.997	-1.003	37240	39620	76860
-19.000	0.000	-18.997	0.003	33830	34870	68700
-19.000	1.000	-19.004	1.003	32320	34580	66900
-19.000	2.000	-19.000	2.001	32030	34260	66290
-19.000	3.000	-19.001	3.006	31780	31990	63770
-19.000	4.000	-19.000	4.002	30980	31530	62510
-19.000	5.000	-19.002	5.007	29170	30640	59810
-19.000	6.000	-18.999	5.999	28740	29140	57880
-19.000	7.000	-18.999	7.005	27210	27730	54940
-19.000	8.000	-18.999	8.001	25770	26140	51910
-19.000	9.000	-19.004	9.003	26360	25650	52010
-19.000	10.000	-19.001	9.999	24520	25440	49960
-19.000	11.000	-18.998	11.003	25110	25010	50120
-19.000	12.000	-19.002	11.997	25530	25120	50650
-19.000	13.000	-19.003	12.997	26430	24800	51230
-19.000	14.000	-19.000	14.002	24980	26590	51570
-19.000	15.000	-19.001	15.000	25000	25660	50660
-19.000	16.000	-19.005	16.005	25970	25210	51180
-19.000	17.000	-19.001	17.002	27030	25150	52180
-19.000	18.000	-18.996	18.001	25030	25390	50420
-19.000	19.000	-19.003	19.004	25320	25700	51020
-19.000	20.000	-18.999	19.996	25640	25590	51230
-18.000	-20.000	-18.002	-19.999	35880	35170	71050
-18.000	-19.000	-18.000	-18.999	38440	36770	75210
-18.000	-18.000	-17.999	-17.998	38490	38190	76680
-18.000	-17.000	-18.002	-17.000	40590	38860	79450
-18.000	-16.000	-17.998	-16.002	40580	39860	80440
-18.000	-15.000	-17.997	-15.006	40670	40500	81170
-18.000	-14.000	-17.998	-13.999	43110	44470	87580
-18.000	-13.000	-17.998	-13.005	45970	47890	93860
-18.000	-12.000	-18.001	-12.002	44430	45900	90330
-18.000	-11.000	-17.994	-11.007	41420	43040	84460
-18.000	-10.000	-18.001	-9.999	38990	40050	79040
-18.000	-9.000	-17.997	-9.002	38730	39620	78350
-18.000	-8.000	-17.994	-7.999	40310	41930	82240
-18.000	-7.000	-18.000	-7.002	43670	44960	88630
-18.000	-6.000	-18.000	-5.996	40710	41660	82370
-18.000	-5.000	-18.002	-4.999	39850	41970	81820
