# Focus	Count
-41.995	7740
-41.895	4920
-41.795	4100
-41.695	4580
-41.595	4300
-41.495	4730
-41.395	4020
-41.295	4750
-41.195	4250
-41.095	4310
-40.995	4390
-40.895	4800
-40.795	4340
-40.695	4520
-40.595	4030
-40.495	4540
-40.395	4510
-40.295	4290
-40.195	4740
-40.095	4320
-39.995	4130
-39.895	4240
-39.795	4380
-39.695	4400
-39.595	4300
-39.495	4300
-39.395	4100
-39.295	4100
-39.195	4320
-39.095	4860
-38.995	4150
-38.895	4360
-38.795	4060
-38.695	4510
-38.595	4320
-38.495	4680
-38.395	4460
-38.295	4430
-38.195	4390
-38.095	4360
-37.995	4510
-37.895	4250
-37.795	3970
-37.695	4500
-37.595	4040
-37.495	4370
-37.395	4330
-37.295	4660
-37.195	4260
-37.095	4110
-36.995	4270
-36.895	4010
-36.795	3810
-36.695	3990
-36.595	4240
-36.495	4760
-36.395	4750
-36.295	4450
-36.195	4570
-36.095	4180
-35.995	4240
-35.895	4250
-35.795	4650
-35.695	4320
-35.595	4570
-35.495	4570
-35.395	4540
-35.295	4200
-35.195	4250
-35.095	4120
-34.995	4620
-34.895	4130
-34.795	4300
-34.695	4330
-34.595	4400
-34.495	4200
-34.395	4210
-34.295	4340
-34.195	4320
-34.095	4770
-33.995	4370
-33.895	4420
-33.795	4440
-33.695	4350
-33.595	4740
-33.495	4400
-33.395	4430
-33.295	4670
-33.195	4330
-33.095	4790
-32.995	4130
-32.895	4810
-32.795	4280
-32.695	4310
-32.595	4580
-32.495	4470
-32.395	4380
-32.295	4570
-32.195	4560
-32.095	4390
-31.995	4520
-31.895	4640
-31.795	4510
-31.695	3900
-31.595	4550
-31.495	4430
-31.395	4250
-31.295	4220
-31.195	4160
-31.095	4430
-30.995	4200
-30.895	4240
-30.795	4360
-30.695	4170
-30.595	4830
-30.495	4710
-30.395	4370
-30.295	4820
-30.195	4640
-30.095	4490
-29.995	4690
-29.895	4390
-29.795	4500
-29.695	4640
-29.595	4410
-29.495	4430
-29.395	4320
-29.295	4480
-29.195	4460
-29.095	4100
-28.995	4770
-28.895	4250
-28.795	4820
-28.695	4340
-28.595	4610
-28.495	4490
-28.395	4620
-28.295	4550
-28.195	4530
-28.095	4210
-27.995	4710
-27.895	4420
-27.795	4470
-27.695	4420
-27.595	4580
-27.495	4490
-27.395	4530
-27.295	4510
-27.195	4630
-27.095	4720
-26.995	4330
-26.895	4270
-26.795	4820
-26.695	4610
-26.595	4590
-26.495	4620
-26.395	4820
-26.295	4240
-26.195	4950
-26.095	4500
-25.995	4610
-25.895	4750
-25.795	4860
-25.695	5020
-25.595	4670
-25.495	4360
-25.395	4210
-25.295	4810
-25.195	4720
-25.095	4640
-24.995	4630
-24.895	5080
-24.795	4350
-24.695	5100
-24.595	4690
-24.495	5030
-24.395	4820
-24.295	4660
-24.195	5050
-24.095	4900
-23.995	4810
-23.895	4740
-23.795	4730
-23.695	4590
-23.595	4940
-23.495	4770
-23.395	4990
-23.295	5080
-23.195	4790
-23.095	4640
-22.995	5070
-22.895	5000
-22.795	5090
-22.695	5270
-22.595	5240
-22.495	5160
-22.395	5380
-22.295	4820
-22.195	5020
-22.095	4990
-21.995	5380
-21.895	5370
-21.795	5030
-21.695	5050
-21.595	4800
-21.495	4860
-21.395	5040
-21.295	4880
-21.195	5830
-21.095	5140
-20.995	5330
-20.895	5660
-20.795	5380
-20.695	5220
-20.595	5190
-20.495	4930
-20.395	5280
-20.295	5910
-20.195	5840
-20.095	5330
-19.995	5420
-19.895	5550
-19.795	5320
-19.695	5540
-19.595	5580
-19.495	6170
-19.395	5510
-19.295	5520
-19.195	5660
-19.095	5920
-18.995	5370
-18.895	5690
-18.795	5520
-18.695	6390
-18.595	5940
-18.495	6010
-18.395	6040
-18.295	6300
-18.195	5970
-18.095	5730
-17.995	6120
-17.895	6400
-17.795	6440
-17.695	6600
-17.595	6850
-17.495	6390
-17.395	6130
-17.295	6320
-17.195	6740
-17.095	6810
-16.995	7280
-16.895	7120
-16.795	7090
-16.695	7040
-16.595	6610
-16.495	6750
-16.395	6810
-16.295	6770
-16.195	7280
-16.095	6820
-15.995	7780
-15.895	7310
-15.795	7240
-15.695	7450
-15.595	6910
-15.495	7030
-15.395	7690
-15.295	7580
-15.195	7600
-15.095	7490
-14.995	8000
-14.895	7950
-14.795	7780
-14.695	8200
-14.595	7830
-14.495	8210
-14.395	8310
-14.295	7940
-14.195	8120
-14.095	8030
-13.995	8110
-13.895	8060
-13.795	8260
-13.695	8230
-13.595	7920
-13.495	8500
-13.395	8230
-13.295	8400
-13.195	8440
-13.095	7870
-12.995	8360
-12.895	8240
-12.795	8480
-12.695	8920
-12.595	8680
-12.495	8910
-12.395	8510
-12.295	8280
-12.195	8500
-12.095	8650
-11.995	9310
-11.895	9410
-11.795	8700
-11.695	8670
-11.595	9130
-11.495	9220
-11.395	8280
-11.295	8610
-11.195	8280
-11.095	9130
-10.995	8780
-10.895	8420
-10.795	8680
-10.695	8200
-10.595	8860
-10.495	8370
-10.395	8290
-10.295	9050
-10.195	7980
-10.095	8580
-9.995	8360
-9.895	8370
-9.795	8160
-9.695	8040
-9.595	8000
-9.495	8480
-9.395	8220
-9.295	8050
-9.195	8130
-9.095	8090
-8.995	8310
-8.895	7640
-8.795	8080
-8.695	8350
-8.595	7370
-8.495	7810
-8.395	7480
-8.295	7470
-8.195	7600
-8.095	7120
-7.995	6790
-7.895	7200
-7.795	7010
-7.695	7430
-7.595	6890
-7.495	6770
-7.395	6770
-7.295	6470
-7.195	6590
-7.095	6290
-6.995	6780
-6.895	6440
-6.795	6110
-6.695	6300
-6.595	6100
-6.495	6160
-6.395	5810
-6.295	6010
-6.195	6340
-6.095	6040
-5.995	5980
-5.895	5700
-5.795	5130
-5.695	5880
-5.595	5380
-5.495	5670
-5.395	5690
-5.295	6020
-5.195	5220
-5.095	5430
-4.995	4980
-4.895	5400
-4.795	5460
-4.695	5090
-4.595	5190
-4.495	5130
-4.395	5010
-4.295	4910
-4.195	5370
-4.095	5020
-3.995	5660
-3.895	5430
-3.795	5170
-3.695	5360
-3.595	5680
-3.495	5700
-3.395	5380
-3.295	5250
-3.195	5680
-3.095	5410
-2.995	5720
-2.895	6020
-2.795	5260
-2.695	5110
-2.595	5820
-2.495	5580
-2.395	5240
-2.295	4980
-2.195	5850
-2.095	5690
-1.995	5520
-1.895	5120
-1.795	5540
-1.695	4950
-1.595	5450
-1.495	5200
-1.395	4740
-1.295	4960
-1.195	5430
-1.095	5380
-0.995	5260
-0.895	5340
-0.795	5220
-0.695	5710
-0.595	5530
-0.495	5640
-0.395	5940
-0.295	6000
-0.195	5760
-0.095	5560
0.005	5860
0.105	5600
0.205	5830
0.305	5440
0.405	5960
0.505	5470
0.605	5420
0.705	5420
0.805	5270
0.905	5320
1.005	5220
1.105	5300
1.205	4980
1.305	4830
1.405	5310
1.505	5010
1.605	4820
1.705	4630
1.805	4310
1.905	4180
2.005	3860
2.105	3890
2.205	3900
2.305	3920
2.405	3910
