# PL Mapping - 2025_07_24_10_39_58
# x_req	y_req	x_act	y_act	count1	count2	total
-16.604	1.803	-16.602	1.807	2620	1960	4580
-16.604	1.903	-16.606	1.903	2390	2130	4520
-16.604	2.003	-16.606	2.009	2390	2170	4560
-16.604	2.103	-16.602	2.101	2360	2210	4570
-16.604	2.203	-16.604	2.205	2380	1970	4350
-16.604	2.303	-16.602	2.305	2440	2050	4490
-16.604	2.403	-16.606	2.401	2340	1880	4220
-16.604	2.503	-16.600	2.504	1980	1650	3630
-16.604	2.603	-16.601	2.602	2190	2100	4290
-16.604	2.703	-16.601	2.703	1980	2080	4060
-16.604	2.803	-16.598	2.802	1990	2100	4090
-16.604	2.903	-16.600	2.903	2240	1970	4210
-16.604	3.003	-16.605	3.006	2100	2230	4330
-16.604	3.103	-16.602	3.104	2000	1900	3900
-16.604	3.203	-16.600	3.204	2070	1970	4040
-16.604	3.303	-16.601	3.301	1940	1660	3600
-16.604	3.403	-16.607	3.401	1870	1750	3620
-16.604	3.503	-16.605	3.498	2190	1830	4020
-16.604	3.603	-16.603	3.602	1910	1900	3810
-16.604	3.703	-16.606	3.707	2050	2100	4150
-16.604	3.803	-16.602	3.802	1750	1970	3720
-16.604	3.903	-16.601	3.907	2100	1860	3960
-16.604	4.003	-16.603	4.004	2060	1950	4010
-16.604	4.103	-16.599	4.106	2090	1770	3860
-16.604	4.203	-16.603	4.200	2060	1850	3910
-16.604	4.303	-16.606	4.303	1760	1940	3700
-16.604	4.403	-16.608	4.408	1950	1680	3630
-16.604	4.503	-16.605	4.502	1900	1690	3590
-16.604	4.603	-16.602	4.607	1980	1850	3830
-16.604	4.703	-16.600	4.706	1960	1760	3720
-16.604	4.803	-16.603	4.804	2080	1850	3930
-16.604	4.903	-16.604	4.903	1870	1570	3440
-16.604	5.003	-16.603	4.999	2320	1620	3940
-16.604	5.103	-16.605	5.102	1820	1720	3540
-16.604	5.203	-16.605	5.203	1940	1930	3870
-16.604	5.303	-16.600	5.300	1930	2010	3940
