# PL Mapping - 2025_07_23_17_28_10
# X Y Count1 Count2 Total
-20.002 -20.001 2120 2060 4180
-19.998 -19.904 2500 1960 4460
-20.000 -19.797 1920 2030 3950
-19.998 -19.700 2090 1870 3960
-19.997 -19.604 2030 2030 4060
-20.001 -19.494 2400 2080 4480
-20.003 -19.403 2390 2130 4520
-20.000 -19.303 2050 1980 4030
-19.996 -19.201 2080 2350 4430
-20.000 -19.095 2700 2280 4980
-19.997 -18.999 2460 2240 4700
-20.001 -18.899 2250 2100 4350
-19.997 -18.805 2640 2210 4850
-19.999 -18.693 2460 2200 4660
-20.002 -18.598 2020 2210 4230
-20.000 -18.499 2190 2180 4370
-19.995 -18.405 2170 2290 4460
-20.001 -18.296 2450 2220 4670
-20.002 -18.198 2220 2290 4510
-19.998 -18.102 2230 2250 4480
-19.998 -18.000 2360 2000 4360
-20.000 -17.903 2380 2260 4640
-20.001 -17.801 2350 2070 4420
-20.002 -17.702 2310 1930 4240
-19.998 -17.600 2130 2050 4180
-20.003 -17.500 1920 1980 3900
-20.004 -17.395 2070 2030 4100
-20.003 -17.296 2140 2090 4230
-19.998 -17.199 2370 2070 4440
-20.000 -17.099 2220 2120 4340
