# PL Mapping - 2025_07_23_17_41_31
# x_req	y_req	x_act	y_act	count1	count2	total
-20.000	-20.000	-20.003	-19.996	1790	2050	3840
-20.000	-15.000	-20.000	-15.004	3000	2420	5420
-20.000	-10.000	-20.002	-9.996	2620	2640	5260
-20.000	-5.000	-19.999	-4.998	3210	3570	6780
-20.000	0.000	-20.003	-0.003	3350	2600	5950
-20.000	5.000	-20.005	4.994	2680	2520	5200
-20.000	10.000	-19.999	10.000	2220	2310	4530
-20.000	15.000	-20.002	14.994	3430	3090	6520
-20.000	20.000	-20.000	20.010	1450	1490	2940
-15.000	-20.000	-15.000	-19.990	2540	2780	5320
-15.000	-15.000	-14.993	-15.002	2680	3060	5740
-15.000	-10.000	-14.999	-10.003	2730	2650	5380
-15.000	-5.000	-14.997	-5.000	3230	3380	6610
-15.000	0.000	-15.001	-0.004	3300	3270	6570
-15.000	5.000	-15.002	5.005	3160	3140	6300
-15.000	10.000	-15.003	10.001	2310	2020	4330
-15.000	15.000	-15.003	15.000	3370	3760	7130
-15.000	20.000	-15.001	19.997	1860	1650	3510
-10.000	-20.000	-9.997	-20.001	2980	2670	5650
-10.000	-15.000	-10.001	-15.003	2690	2680	5370
-10.000	-10.000	-9.997	-10.000	2530	2350	4880
-10.000	-5.000	-9.997	-5.001	2590	2960	5550
-10.000	0.000	-10.003	0.000	3230	3390	6620
-10.000	5.000	-10.001	5.000	3540	3670	7210
-10.000	10.000	-10.001	9.999	3010	2880	5890
-10.000	15.000	-10.002	15.006	2950	2380	5330
-10.000	20.000	-10.005	20.005	3260	2940	6200
-5.000	-20.000	-4.999	-20.001	2630	2300	4930
-5.000	-15.000	-5.003	-14.997	2720	2820	5540
-5.000	-10.000	-5.004	-10.002	2910	2800	5710
-5.000	-5.000	-4.999	-5.001	3230	3390	6620
-5.000	0.000	-4.999	0.001	2580	2950	5530
-5.000	5.000	-4.996	5.005	3460	3310	6770
-5.000	10.000	-4.996	9.999	2450	2130	4580
-5.000	15.000	-5.000	14.997	2740	2370	5110
-5.000	20.000	-5.000	20.000	3240	2950	6190
0.000	-20.000	0.002	-20.003	2430	2510	4940
0.000	-15.000	0.005	-15.002	2760	2710	5470
0.000	-10.000	0.001	-10.006	2100	1980	4080
0.000	-5.000	0.003	-4.999	2890	2720	5610
0.000	0.000	-0.002	-0.005	2710	2490	5200
0.000	5.000	-0.005	4.995	2840	3070	5910
0.000	10.000	0.002	9.999	2870	3010	5880
0.000	15.000	-0.001	15.005	2580	2700	5280
0.000	20.000	-0.002	20.004	2710	2750	5460
5.000	-20.000	4.996	-19.996	2820	2580	5400
5.000	-15.000	5.006	-14.998	2830	2790	5620
5.000	-10.000	4.999	-9.991	2600	2440	5040
5.000	-5.000	4.998	-5.002	2660	2210	4870
5.000	0.000	4.998	0.001	3010	3210	6220
5.000	5.000	4.998	5.001	2410	2330	4740
5.000	10.000	5.003	10.001	2460	2450	4910
5.000	15.000	4.996	14.997	2730	2690	5420
5.000	20.000	5.005	20.004	2750	2520	5270
10.000	-20.000	9.997	-19.995	2500	2480	4980
10.000	-15.000	10.003	-15.003	2330	2260	4590
10.000	-10.000	10.003	-9.996	2460	2670	5130
10.000	-5.000	10.000	-5.006	2550	2180	4730
10.000	0.000	10.001	-0.005	3010	3020	6030
10.000	5.000	10.001	5.001	2920	3070	5990
10.000	10.000	9.998	9.996	2630	2540	5170
10.000	15.000	9.998	15.004	2390	2230	4620
10.000	20.000	9.998	19.995	2710	2860	5570
15.000	-20.000	15.002	-19.991	1780	1520	3300
15.000	-15.000	14.998	-15.002	2560	2420	4980
15.000	-10.000	15.004	-10.002	2330	2380	4710
15.000	-5.000	14.999	-4.999	2060	2100	4160
15.000	0.000	14.998	0.000	2700	2400	5100
15.000	5.000	14.998	5.004	2450	2540	4990
15.000	10.000	15.001	10.003	2760	2640	5400
15.000	15.000	14.998	15.005	2200	2140	4340
15.000	20.000	14.996	20.001	2920	3130	6050
20.000	-20.000	20.002	-19.994	1240	1270	2510
20.000	-15.000	19.996	-14.997	5600	4060	9660
20.000	-10.000	19.999	-10.001	2590	2150	4740
20.000	-5.000	19.997	-4.995	2810	2930	5740
20.000	0.000	20.002	-0.006	2490	2750	5240
20.000	5.000	20.001	5.007	2460	2750	5210
20.000	10.000	20.002	9.996	3020	2990	6010
20.000	15.000	20.001	15.000	2740	2720	5460
20.000	20.000	20.000	19.999	2950	2630	5580
