# PL Mapping - 2025_07_24_17_23_15
# x_req	y_req	x_act	y_act	count1	count2	total
-310.000	-260.000	-310.002	-259.999	11610	11880	23490
-310.000	-259.800	-309.996	-259.798	10990	11290	22280
-310.000	-259.600	-310.004	-259.602	10530	11060	21590
-310.000	-259.400	-310.000	-259.398	11210	10890	22100
-310.000	-259.200	-309.996	-259.197	10480	10530	21010
-310.000	-259.000	-309.997	-259.001	10760	10550	21310
-310.000	-258.800	-309.997	-258.804	10470	10020	20490
-310.000	-258.600	-309.998	-258.603	10710	10120	20830
-310.000	-258.400	-310.005	-258.402	9920	10500	20420
-310.000	-258.200	-309.998	-258.204	10260	9990	20250
-310.000	-258.000	-310.000	-258.001	10130	9660	19790
-310.000	-257.800	-309.998	-257.801	10200	9890	20090
-310.000	-257.600	-309.999	-257.597	9560	10240	19800
-310.000	-257.400	-310.003	-257.398	10170	10220	20390
-310.000	-257.200	-310.000	-257.200	10240	9890	20130
-310.000	-257.000	-310.001	-257.000	9340	9690	19030
-310.000	-256.800	-310.001	-256.798	9310	9240	18550
-310.000	-256.600	-309.999	-256.605	9570	9870	19440
-310.000	-256.400	-310.001	-256.402	9670	10120	19790
-310.000	-256.200	-309.997	-256.203	9780	9510	19290
-310.000	-256.000	-310.002	-255.999	9600	9850	19450
-310.000	-255.800	-310.006	-255.793	9620	9590	19210
-310.000	-255.600	-309.999	-255.601	9560	9640	19200
-310.000	-255.400	-309.996	-255.403	9430	9830	19260
-310.000	-255.200	-310.003	-255.204	9460	8810	18270
-310.000	-255.000	-310.001	-255.004	8950	8200	17150
-310.000	-254.800	-309.999	-254.798	8450	8690	17140
-310.000	-254.600	-309.995	-254.600	8750	8480	17230
-310.000	-254.400	-309.998	-254.403	8710	8250	16960
-310.000	-254.200	-309.998	-254.203	8470	8700	17170
-310.000	-254.000	-310.002	-253.997	7880	8400	16280
-310.000	-253.800	-310.000	-253.800	7500	8020	15520
-310.000	-253.600	-310.002	-253.603	7840	8610	16450
-310.000	-253.400	-309.998	-253.398	8140	8080	16220
-310.000	-253.200	-310.001	-253.199	8170	8200	16370
-310.000	-253.000	-310.002	-253.003	7570	8280	15850
-310.000	-252.800	-309.997	-252.799	7270	7890	15160
-310.000	-252.600	-310.001	-252.595	7480	7730	15210
-310.000	-252.400	-310.000	-252.395	7400	6800	14200
-310.000	-252.200	-309.999	-252.198	7250	7350	14600
-310.000	-252.000	-310.000	-252.000	6780	7520	14300
-310.000	-251.800	-310.002	-251.805	6630	6450	13080
-310.000	-251.600	-310.004	-251.601	6390	6050	12440
-310.000	-251.400	-310.004	-251.400	5690	5750	11440
-310.000	-251.200	-310.000	-251.196	5520	5520	11040
-310.000	-251.000	-309.997	-250.999	5890	5460	11350
-310.000	-250.800	-310.000	-250.797	5750	5720	11470
-310.000	-250.600	-310.001	-250.595	5850	6180	12030
-310.000	-250.400	-310.001	-250.400	5980	6000	11980
-310.000	-250.200	-310.006	-250.202	6070	5600	11670
-310.000	-250.000	-310.000	-250.001	5930	5550	11480
-310.000	-249.800	-309.997	-249.797	5470	5380	10850
-310.000	-249.600	-310.003	-249.601	5260	5610	10870
-310.000	-249.400	-309.998	-249.409	5480	5240	10720
-310.000	-249.200	-309.997	-249.197	5600	4940	10540
-310.000	-249.000	-310.000	-249.003	5770	5440	11210
-310.000	-248.800	-310.001	-248.801	5530	5410	10940
-310.000	-248.600	-309.995	-248.598	5980	6650	12630
