# PL Mapping - 2025_07_24_17_22_29
# x_req	y_req	x_act	y_act	count1	count2	total
-310.000	-260.000	-310.001	-260.000	12070	12060	24130
-310.000	-259.800	-310.001	-259.797	11150	11200	22350
-310.000	-259.600	-310.000	-259.597	11240	10890	22130
-310.000	-259.400	-310.004	-259.399	10950	10850	21800
-310.000	-259.200	-310.000	-259.202	10480	10810	21290
-310.000	-259.000	-309.995	-259.002	10100	10400	20500
-310.000	-258.800	-310.003	-258.803	10320	10850	21170
-310.000	-258.600	-310.000	-258.599	10030	10380	20410
-310.000	-258.400	-310.000	-258.398	10710	10650	21360
-310.000	-258.200	-309.998	-258.197	10710	10370	21080
-310.000	-258.000	-310.001	-258.002	9750	10670	20420
-310.000	-257.800	-310.002	-257.805	10520	10520	21040
-310.000	-257.600	-309.998	-257.599	10640	10010	20650
-310.000	-257.400	-309.998	-257.395	10620	10490	21110
-310.000	-257.200	-310.000	-257.195	10530	10560	21090
-310.000	-257.000	-309.998	-257.004	10420	9810	20230
-310.000	-256.800	-310.005	-256.799	9760	9950	19710
-310.000	-256.600	-310.004	-256.595	9940	9890	19830
-310.000	-256.400	-310.002	-256.398	10010	9610	19620
-310.000	-256.200	-309.997	-256.201	9230	9870	19100
-310.000	-256.000	-309.998	-256.002	9880	9740	19620
-310.000	-255.800	-309.999	-255.796	9290	9760	19050
-310.000	-255.600	-309.999	-255.603	9820	10470	20290
-310.000	-255.400	-309.998	-255.402	9780	9620	19400
-310.000	-255.200	-309.999	-255.198	9540	9540	19080
-310.000	-255.000	-309.998	-255.001	9150	8790	17940
-310.000	-254.800	-310.001	-254.804	9020	8480	17500
-310.000	-254.600	-310.001	-254.601	8650	9170	17820
-310.000	-254.400	-309.993	-254.396	9020	8530	17550
-310.000	-254.200	-310.000	-254.201	8360	8530	16890
-310.000	-254.000	-309.997	-253.997	8820	8690	17510
-310.000	-253.800	-310.000	-253.799	8630	8200	16830
-310.000	-253.600	-309.999	-253.599	8300	8650	16950
-310.000	-253.400	-310.001	-253.402	8260	8160	16420
-310.000	-253.200	-310.001	-253.195	7850	8200	16050
-310.000	-253.000	-310.000	-253.003	8070	7680	15750
