# PL Mapping - 2025_07_23_17_28_36
# X Y Count1 Count2 Total
-20.002 -20.001 2280 2300 4580
-19.997 -18.998 2230 2110 4340
-19.998 -17.999 2100 2260 4360
-20.000 -16.999 1830 1980 3810
-20.004 -16.002 2470 1980 4450
-20.002 -15.001 2540 2360 4900
-19.996 -14.000 2530 2660 5190
-20.002 -12.993 2680 2380 5060
-19.998 -12.001 2490 2460 4950
-20.000 -11.002 2420 2280 4700
-20.005 -9.994 2570 2710 5280
-19.998 -8.994 2780 2570 5350
-20.006 -7.996 3390 3490 6880
-20.003 -6.999 3470 3590 7060
-19.997 -5.994 3560 3260 6820
-20.003 -4.997 3510 3560 7070
-20.004 -3.999 3150 3150 6300
-20.003 -2.997 3210 3010 6220
-20.003 -2.003 2950 3120 6070
-19.997 -0.992 3350 3140 6490
-20.004 0.001 3000 3140 6140
-20.004 1.004 3220 2940 6160
-19.999 2.001 3030 3070 6100
-20.001 2.999 2590 2510 5100
-19.999 3.998 2560 2130 4690
-19.997 4.993 2790 2500 5290
-19.998 6.005 2720 2470 5190
-20.001 6.998 2370 2120 4490
-19.999 8.003 2420 2190 4610
-20.002 9.000 2150 2770 4920
-20.001 10.004 2920 3130 6050
-20.004 11.003 2690 2700 5390
-20.004 12.002 2660 2850 5510
-20.001 13.003 2990 2790 5780
-20.000 14.005 3150 3120 6270
-20.005 14.998 2750 3010 5760
-19.998 15.997 2480 2600 5080
-19.997 17.002 2070 1760 3830
-20.004 18.006 1530 1230 2760
-20.002 19.003 1420 1260 2680
-20.002 19.999 1580 1400 2980
-19.000 -20.001 2210 2100 4310
-19.000 -19.000 2460 2380 4840
-18.998 -17.999 2240 2250 4490
-19.000 -16.998 2280 1940 4220
-18.998 -15.995 2410 2230 4640
-19.000 -14.997 2200 2230 4430
-18.999 -14.002 2140 2540 4680
-19.001 -13.002 2200 2390 4590
-19.000 -11.996 2200 1830 4030
-18.999 -10.999 2290 2710 5000
-19.003 -9.995 2620 2390 5010
-19.000 -8.993 2640 2630 5270
-19.002 -7.993 2850 2500 5350
-19.000 -7.001 2470 2620 5090
-19.003 -6.008 2880 2680 5560
-19.005 -5.002 2940 2410 5350
-18.997 -4.000 2830 2860 5690
-18.998 -2.998 3280 3060 6340
-19.000 -2.003 3100 2870 5970
-19.002 -1.001 3650 3400 7050
-19.000 0.010 3210 3150 6360
-19.004 1.001 3630 3660 7290
-19.004 2.000 3240 2970 6210
-19.002 2.995 2490 2210 4700
-19.000 4.000 2540 2230 4770
-19.002 5.004 2380 2410 4790
-18.998 5.996 2250 2000 4250
-19.002 6.996 2410 2130 4540
-19.001 7.998 2300 2270 4570
-19.000 9.007 2030 2200 4230
-19.001 10.003 2280 2680 4960
-19.002 11.004 2360 2450 4810
-19.001 11.998 2590 2300 4890
-18.997 13.005 2700 2820 5520
-18.999 14.007 2600 2860 5460
-18.997 14.995 2730 2580 5310
-18.993 16.002 2790 3010 5800
-19.002 17.003 2210 2090 4300
-18.999 17.997 1630 1650 3280
-18.999 18.998 1730 1480 3210
-19.003 20.002 1380 1500 2880
-17.997 -20.002 2280 2430 4710
-17.997 -19.004 2250 2600 4850
-18.002 -18.003 2640 2430 5070
-18.002 -17.000 2120 2150 4270
-18.002 -15.999 1760 1840 3600
-18.003 -14.996 2380 2130 4510
-18.000 -14.009 2290 2490 4780
-17.995 -12.999 2650 2090 4740
-18.004 -11.999 2290 2450 4740
-18.000 -11.012 2510 2480 4990
-18.000 -10.001 2700 2280 4980
-18.000 -9.002 2550 2440 4990
-17.999 -7.999 2230 2450 4680
-18.000 -7.005 2640 2430 5070
-18.004 -5.994 2880 2620 5500
-17.998 -4.997 3160 3050 6210
-17.994 -3.998 3470 3470 6940
-18.001 -2.990 2860 3220 6080
-18.001 -2.001 3090 2960 6050
-17.998 -0.995 3550 3500 7050
-17.999 0.001 3290 3480 6770
-18.003 1.004 3270 2900 6170
-18.001 2.000 2700 2700 5400
-18.004 3.004 2440 2280 4720
-18.000 4.006 2490 2020 4510
-17.998 5.008 2460 2350 4810
-17.998 5.997 2180 1950 4130
-17.998 7.005 2470 2310 4780
-18.000 8.005 2350 2410 4760
