# Focus	Count
-16.987	6780
-16.887	6780
-16.787	6240
-16.687	6240
-16.587	6880
-16.487	6880
-16.387	6460
-16.287	6460
-16.187	6460
-16.087	6510
-15.987	6510
-15.887	6510
-15.787	6510
-15.687	6980
-15.587	6920
-15.487	6920
-15.387	6730
-15.287	6940
-15.187	6940
-15.087	6780
-14.987	6780
-14.887	7410
-14.787	7490
-14.687	7490
-14.587	7490
-14.487	7490
-14.387	6620
-14.287	6620
-14.187	6620
-14.087	7730
-13.987	7730
-13.887	8120
-13.787	8120
-13.687	7410
-13.587	7520
-13.487	7630
-13.387	7630
-13.287	7630
-13.187	7300
-13.087	7520
-12.987	8260
-12.887	8260
-12.787	7530
-12.687	7870
-12.587	7870
-12.487	8350
-12.387	8350
-12.287	8190
-12.187	8190
-12.087	8190
-11.987	8070
-11.887	8750
-11.787	8750
-11.687	8080
-11.587	8080
-11.487	8130
-11.387	7870
-11.287	8310
-11.187	7630
-11.087	7630
-10.987	7630
-10.887	8200
-10.787	8200
-10.687	8200
-10.587	8470
-10.487	8210
-10.387	8210
-10.287	8210
-10.187	8420
-10.087	8420
-9.987	8420
-9.887	8310
-9.787	8310
-9.687	8310
-9.587	8640
-9.487	7930
-9.387	7930
-9.287	7930
-9.187	8710
-9.087	8710
-8.987	8710
-8.887	8710
-8.787	8240
-8.687	8240
-8.587	8350
-8.487	8350
-8.387	8350
-8.287	8470
-8.187	8470
-8.087	8470
-7.987	8640
-7.887	8640
-7.787	8640
-7.687	7830
-7.587	7830
-7.487	7830
-7.387	8560
-7.287	8560
-7.187	8560
-7.087	8250
-6.987	8250
