# PL Mapping - 2025_07_24_17_21_43
# x_req	y_req	x_act	y_act	count1	count2	total
-310.000	-260.000	-310.000	-260.002	11770	12560	24330
-310.000	-259.800	-310.002	-259.794	11890	12080	23970
-310.000	-259.600	-310.000	-259.595	11450	11310	22760
-310.000	-259.400	-309.999	-259.400	10850	10930	21780
-310.000	-259.200	-310.001	-259.205	10930	10970	21900
-310.000	-259.000	-309.998	-259.000	11120	11180	22300
-310.000	-258.800	-310.001	-258.802	10400	10240	20640
-310.000	-258.600	-309.999	-258.599	11070	10320	21390
-310.000	-258.400	-310.000	-258.399	10080	10470	20550
-310.000	-258.200	-309.997	-258.194	10280	10040	20320
-310.000	-258.000	-309.998	-258.002	9760	9960	19720
-310.000	-257.800	-310.002	-257.805	10310	10390	20700
-310.000	-257.600	-310.000	-257.603	9690	10460	20150
-310.000	-257.400	-310.005	-257.401	10710	10760	21470
-310.000	-257.200	-310.002	-257.201	10630	10580	21210
-310.000	-257.000	-309.997	-256.999	10530	10900	21430
-310.000	-256.800	-310.002	-256.797	10240	10080	20320
-310.000	-256.600	-309.996	-256.603	9440	10240	19680
-310.000	-256.400	-310.001	-256.401	9340	10040	19380
-310.000	-256.200	-310.005	-256.199	10070	9540	19610
-310.000	-256.000	-309.999	-256.001	10130	9980	20110
-310.000	-255.800	-309.999	-255.801	10020	10460	20480
-310.000	-255.600	-310.000	-255.593	9380	9400	18780
-310.000	-255.400	-310.000	-255.395	10120	9860	19980
-310.000	-255.200	-310.001	-255.198	9560	10150	19710
-310.000	-255.000	-310.001	-254.998	8960	9470	18430
-310.000	-254.800	-309.997	-254.803	8790	8860	17650
-310.000	-254.600	-309.998	-254.598	8890	8990	17880
-310.000	-254.400	-310.001	-254.401	8790	8880	17670
-310.000	-254.200	-310.002	-254.201	8310	8350	16660
-310.000	-254.000	-309.999	-254.000	9170	8140	17310
-310.000	-253.800	-309.997	-253.800	9110	8150	17260
-310.000	-253.600	-309.999	-253.593	8390	8860	17250
-310.000	-253.400	-309.998	-253.408	8320	8440	16760
-310.000	-253.200	-310.001	-253.199	8020	8290	16310
-310.000	-253.000	-309.999	-252.995	7690	7610	15300
-310.000	-252.800	-310.002	-252.800	7780	8170	15950
-310.000	-252.600	-309.998	-252.594	7400	8500	15900
-310.000	-252.400	-310.000	-252.402	7180	7510	14690
-310.000	-252.200	-310.002	-252.201	6310	7050	13360
-310.000	-252.000	-309.996	-251.992	6500	6270	12770
-310.000	-251.800	-310.004	-251.799	6020	6320	12340
-310.000	-251.600	-309.999	-251.601	5920	6570	12490
-310.000	-251.400	-310.001	-251.399	5920	5820	11740
-310.000	-251.200	-310.003	-251.198	5820	6250	12070
-310.000	-251.000	-310.001	-250.996	5980	6000	11980
-310.000	-250.800	-310.002	-250.799	5450	5730	11180
-310.000	-250.600	-309.998	-250.600	5630	5740	11370
-310.000	-250.400	-310.001	-250.394	5980	5730	11710
-310.000	-250.200	-310.000	-250.199	6260	6280	12540
-310.000	-250.000	-309.999	-249.999	6040	5960	12000
-310.000	-249.800	-310.001	-249.797	5420	5430	10850
-310.000	-249.600	-310.002	-249.595	5570	5300	10870
-310.000	-249.400	-310.001	-249.398	5600	4920	10520
-310.000	-249.200	-310.001	-249.198	5560	5660	11220
-310.000	-249.000	-309.995	-249.000	5530	5440	10970
-310.000	-248.800	-309.997	-248.801	6260	6110	12370
-310.000	-248.600	-310.000	-248.601	5990	6070	12060
-310.000	-248.400	-310.000	-248.402	6010	6210	12220
-310.000	-248.200	-309.994	-248.197	5840	5930	11770
-310.000	-248.000	-310.000	-248.002	5920	6300	12220
-310.000	-247.800	-310.002	-247.801	6080	6440	12520
-310.000	-247.600	-310.002	-247.600	6830	6660	13490
-310.000	-247.400	-309.998	-247.403	6460	6460	12920
-310.000	-247.200	-310.004	-247.204	6600	6700	13300
-310.000	-247.000	-310.000	-246.997	5770	6080	11850
-310.000	-246.800	-310.001	-246.797	6670	6400	13070
-310.000	-246.600	-309.996	-246.601	6080	6180	12260
-310.000	-246.400	-310.000	-246.401	6780	6600	13380
-310.000	-246.200	-309.999	-246.203	5840	6580	12420
-310.000	-246.000	-309.995	-246.004	6710	6270	12980
-310.000	-245.800	-310.002	-245.798	6130	6480	12610
-310.000	-245.600	-310.004	-245.599	6550	6180	12730
-310.000	-245.400	-309.998	-245.398	5980	6050	12030
-310.000	-245.200	-309.999	-245.198	6540	7100	13640
-310.000	-245.000	-309.997	-244.996	6850	6880	13730
-310.000	-244.800	-309.998	-244.801	6960	7100	14060
-310.000	-244.600	-310.000	-244.596	7180	7090	14270
