# Focus	Count
-11.994	10370
-11.894	10370
-11.794	10370
-11.694	10700
-11.594	10700
-11.494	10460
-11.394	9290
-11.294	9290
-11.194	9290
-11.094	10180
-10.994	9060
-10.894	9130
-10.794	9130
-10.694	9910
-10.594	8860
-10.494	8860
-10.394	8860
-10.294	8920
-10.194	8920
-10.094	8920
-9.994	9050
-9.894	8480
-9.794	8480
-9.694	8480
-9.594	8480
-9.494	8390
-9.394	8390
-9.294	8740
-9.194	8740
-9.094	8150
-8.994	8150
-8.894	8300
-8.794	8300
-8.694	8300
-8.594	7560
-8.494	7560
-8.394	7460
-8.294	7460
-8.194	7580
-8.094	7580
-7.994	8000
-7.894	8000
-7.794	6630
-7.694	7210
-7.594	7210
-7.494	7130
-7.394	7130
-7.294	6620
-7.194	6140
-7.094	6140
-6.994	6140
-6.894	6140
-6.794	6030
-6.694	6320
-6.594	6320
-6.494	6420
-6.394	6420
-6.294	6130
-6.194	6130
-6.094	5940
-5.994	5940
-5.894	5940
-5.794	5220
-5.694	5770
-5.594	5770
-5.494	6100
-5.394	6100
-5.294	6020
-5.194	5450
-5.094	5450
-4.994	5450
-4.894	5530
-4.794	5530
-4.694	5370
-4.594	5370
-4.494	5370
-4.394	5370
-4.294	5830
-4.194	5360
-4.094	5360
-3.994	5360
-3.894	5230
-3.794	5640
-3.694	5190
-3.594	5340
-3.494	5340
-3.394	5240
-3.294	5530
-3.194	5530
-3.094	5300
-2.994	5300
-2.894	5470
-2.794	5470
-2.694	5080
-2.594	5080
-2.494	5740
-2.394	5740
-2.294	5740
-2.194	5740
-2.094	5430
-1.994	5430
-1.894	5380
-1.794	5300
-1.694	5300
-1.594	5220
-1.494	4930
-1.394	4930
-1.294	5000
-1.194	5000
-1.094	5000
-0.994	5000
-0.894	5000
-0.794	5000
-0.694	5000
-0.594	4970
-0.494	5510
-0.394	5510
-0.294	5510
-0.194	5290
-0.094	5290
0.006	5780
0.106	5780
0.206	5260
0.306	5260
0.406	5670
0.506	5670
0.606	5670
0.706	5670
0.806	5200
0.906	4970
1.006	4970
1.106	4850
1.206	4850
1.306	4610
1.406	4500
1.506	4500
1.606	4500
1.706	4510
1.806	4420
1.906	4240
2.006	4240
2.106	4050
2.206	4050
2.306	3300
2.406	3300
2.506	3750
2.606	3750
2.706	3750
2.806	3490
2.906	3320
3.006	3390
3.106	3390
3.206	3390
3.306	3510
3.406	3110
3.506	3000
3.606	2950
3.706	2950
3.806	2950
3.906	2950
4.006	2800
4.106	3050
4.206	3050
4.306	3050
4.406	3120
4.506	3120
4.606	3320
4.706	3320
4.806	3400
4.906	3280
5.006	3280
5.106	3280
5.206	2990
5.306	2990
5.406	3450
5.506	3540
5.606	3540
5.706	3540
5.806	3680
5.906	3680
6.006	3680
6.106	3680
6.206	3390
6.306	3390
6.406	3490
6.506	3490
6.606	3600
6.706	3600
6.806	3360
6.906	3360
7.006	3360
7.106	3350
7.206	3350
7.306	3350
7.406	3170
7.506	3680
7.606	3680
7.706	3680
7.806	3000
7.906	3000
8.006	3000
8.106	3020
8.206	3460
8.306	3460
8.406	3460
8.506	3460
8.606	3210
8.706	3210
8.806	3210
8.906	3060
9.006	3060
9.106	3230
9.206	3230
9.306	3230
9.406	3230
9.506	3500
9.606	3130
9.706	3320
9.806	3320
9.906	3450
10.006	3450
10.106	2800
10.206	2800
10.306	3260
10.406	3260
10.506	3490
10.606	3490
10.706	3250
10.806	3250
10.906	3160
11.006	3160
11.106	3160
11.206	3230
11.306	3230
11.406	3480
