# Focus	Count
-30.004	6620
-29.904	7970
-29.804	5390
-29.704	5270
-29.604	5190
-29.504	4890
-29.404	5260
-29.304	5200
-29.204	5380
-29.104	5420
-29.004	5060
-28.904	5040
-28.804	5490
-28.704	5190
-28.604	5120
-28.504	5550
-28.404	5270
-28.304	5340
-28.204	4990
-28.104	5820
-28.004	5430
-27.904	5510
-27.804	5230
-27.704	5160
-27.604	5420
-27.504	5100
-27.404	5370
-27.304	5130
-27.204	5280
-27.104	5320
-27.004	5430
-26.904	4970
-26.804	5440
-26.704	5490
-26.604	5210
-26.504	5150
-26.404	5370
-26.304	5230
-26.204	5050
-26.104	5350
-26.004	5300
-25.904	5050
-25.804	5580
-25.704	5420
-25.604	5490
-25.504	5230
-25.404	5300
-25.304	5150
-25.204	5200
-25.104	5400
-25.004	5080
-24.904	5440
-24.804	5420
-24.704	5660
-24.604	5510
-24.504	5510
-24.404	5320
-24.304	4940
-24.204	5190
-24.104	6190
-24.004	6010
-23.904	5130
-23.804	5410
-23.704	5300
-23.604	5330
-23.504	5960
-23.404	5380
-23.304	6160
-23.204	5570
-23.104	6200
-23.004	5670
-22.904	5640
-22.804	6070
-22.704	5540
-22.604	5480
-22.504	5930
-22.404	5700
-22.304	5660
-22.204	5530
-22.104	6200
-22.004	5560
-21.904	6050
-21.804	5560
-21.704	5700
-21.604	5620
-21.504	6130
-21.404	6080
-21.304	5950
-21.204	5670
-21.104	6130
-21.004	5920
-20.904	5470
-20.804	6070
-20.704	6240
-20.604	6400
-20.504	6340
-20.404	6270
-20.304	6440
-20.204	6260
-20.104	6160
-20.004	6500
-19.904	6250
-19.804	6200
-19.704	6240
-19.604	6350
-19.504	6380
-19.404	6660
-19.304	6020
-19.204	6300
-19.104	6490
-19.004	6490
-18.904	6690
-18.804	7020
-18.704	6530
-18.604	6340
-18.504	6820
-18.404	7250
-18.304	6930
-18.204	6970
-18.104	7060
-18.004	7010
-17.904	7100
-17.804	7460
-17.704	7080
-17.604	7770
-17.504	7940
-17.404	7750
-17.304	8030
-17.204	7520
-17.104	7740
-17.004	8060
-16.904	7630
-16.804	7360
-16.704	7630
-16.604	8480
-16.504	7990
-16.404	8320
-16.304	7970
-16.204	7540
-16.104	8280
-16.004	8200
-15.904	8360
-15.804	8430
-15.704	8460
-15.604	8250
-15.504	8470
-15.404	8400
-15.304	8850
-15.204	8720
-15.104	8910
-15.004	8710
-14.904	8990
-14.804	8190
-14.704	8820
-14.604	8720
-14.504	9360
-14.404	8860
-14.304	9350
-14.204	9070
-14.104	9340
-14.004	9670
-13.904	9760
-13.804	9720
-13.704	9180
-13.604	9450
-13.504	9490
-13.404	9660
-13.304	9770
-13.204	9220
-13.104	9910
-13.004	10350
-12.904	9900
-12.804	9800
-12.704	9840
-12.604	9630
-12.504	9990
-12.404	9790
-12.304	10620
-12.204	10090
-12.104	9880
-12.004	10660
-11.904	9760
-11.804	10020
-11.704	9800
-11.604	9910
-11.504	10060
-11.404	9980
-11.304	9480
-11.204	9810
-11.104	10050
-11.004	10230
-10.904	9690
-10.804	9810
-10.704	10440
-10.604	9880
-10.504	9330
-10.404	9920
-10.304	10140
-10.204	9590
