# PL Mapping - 2025_07_25_13_58_12
# x_req	y_req	x_act	y_act	count1	count2	total
3.645	5.212	3.642	5.214	1230	1320	2550
3.645	5.312	3.639	5.313	1600	1210	2810
3.645	5.412	3.642	5.414	1380	1130	2510
3.645	5.512	3.645	5.516	1270	1240	2510
3.645	5.612	3.646	5.609	1280	1220	2500
3.645	5.712	3.643	5.714	1500	1260	2760
3.645	5.812	3.645	5.810	1400	1150	2550
3.645	5.912	3.645	5.916	1320	1130	2450
3.645	6.012	3.645	6.012	1380	1270	2650
3.645	6.112	3.646	6.111	1420	1300	2720
3.645	6.212	3.646	6.213	1450	1300	2750
3.645	6.312	3.646	6.306	1480	1230	2710
3.645	6.412	3.640	6.406	1510	1190	2700
3.645	6.512	3.647	6.515	1400	1440	2840
3.645	6.612	3.645	6.615	1570	1290	2860
3.645	6.712	3.644	6.716	1460	1270	2730
3.645	6.812	3.648	6.814	1410	1350	2760
3.645	6.912	3.642	6.914	1440	1530	2970
3.645	7.012	3.644	7.017	1240	1520	2760
3.645	7.112	3.639	7.113	1180	1330	2510
3.645	7.212	3.645	7.219	1280	1340	2620
3.745	5.212	3.745	5.211	1330	1220	2550
3.745	5.312	3.745	5.312	1420	1230	2650
3.745	5.412	3.747	5.412	1610	1430	3040
3.745	5.512	3.745	5.513	1460	1180	2640
3.745	5.612	3.744	5.613	1270	1180	2450
3.745	5.712	3.745	5.715	1190	1330	2520
3.745	5.812	3.746	5.818	1380	1320	2700
3.745	5.912	3.747	5.916	1520	1300	2820
3.745	6.012	3.745	6.013	1270	1480	2750
3.745	6.112	3.744	6.108	1230	1300	2530
3.745	6.212	3.743	6.209	1280	1110	2390
3.745	6.312	3.743	6.316	1320	1330	2650
3.745	6.412	3.745	6.412	1640	1210	2850
3.745	6.512	3.746	6.515	1300	1190	2490
3.745	6.612	3.744	6.613	1280	1050	2330
3.745	6.712	3.747	6.708	1330	1130	2460
3.745	6.812	3.747	6.814	1250	1230	2480
3.745	6.912	3.747	6.911	1320	1450	2770
3.745	7.012	3.746	7.010	1190	1360	2550
3.745	7.112	3.743	7.113	1580	1210	2790
3.745	7.212	3.741	7.218	1610	1430	3040
3.845	5.212	3.843	5.213	1700	1450	3150
3.845	5.312	3.851	5.313	1270	1230	2500
3.845	5.412	3.842	5.414	1410	1220	2630
3.845	5.512	3.845	5.510	1450	1240	2690
3.845	5.612	3.847	5.614	1520	1360	2880
3.845	5.712	3.844	5.715	1510	1050	2560
3.845	5.812	3.844	5.812	1310	1410	2720
3.845	5.912	3.845	5.908	1590	1400	2990
3.845	6.012	3.847	6.015	1410	1250	2660
3.845	6.112	3.848	6.114	1490	1390	2880
3.845	6.212	3.845	6.208	1600	1300	2900
3.845	6.312	3.850	6.314	1560	1240	2800
3.845	6.412	3.846	6.412	1240	1410	2650
3.845	6.512	3.844	6.511	1270	1360	2630
3.845	6.612	3.845	6.611	1280	1420	2700
3.845	6.712	3.844	6.712	1380	1250	2630
3.845	6.812	3.844	6.812	1380	1250	2630
3.845	6.912	3.839	6.913	1280	1310	2590
3.845	7.012	3.846	7.007	1240	1080	2320
3.845	7.112	3.842	7.116	1490	1210	2700
3.845	7.212	3.843	7.213	1280	1340	2620
3.945	5.212	3.944	5.207	1190	1040	2230
3.945	5.312	3.944	5.311	1310	1170	2480
3.945	5.412	3.948	5.411	1170	1030	2200
3.945	5.512	3.947	5.505	1110	1250	2360
3.945	5.612	3.944	5.614	1540	1350	2890
3.945	5.712	3.941	5.707	1340	1310	2650
3.945	5.812	3.948	5.815	1230	1240	2470
3.945	5.912	3.944	5.910	1170	1240	2410
3.945	6.012	3.942	6.010	1410	1030	2440
3.945	6.112	3.947	6.107	1380	1340	2720
3.945	6.212	3.945	6.212	1400	1330	2730
3.945	6.312	3.941	6.312	1430	1480	2910
3.945	6.412	3.944	6.409	1480	1230	2710
3.945	6.512	3.945	6.515	1520	1290	2810
3.945	6.612	3.948	6.612	1190	1370	2560
3.945	6.712	3.944	6.708	1220	1270	2490
3.945	6.812	3.945	6.812	1310	1200	2510
3.945	6.912	3.947	6.917	1380	1350	2730
3.945	7.012	3.949	7.012	1280	1300	2580
3.945	7.112	3.950	7.115	1390	1280	2670
3.945	7.212	3.948	7.212	1150	1140	2290
4.045	5.212	4.042	5.218	1500	1180	2680
4.045	5.312	4.047	5.306	1440	1380	2820
4.045	5.412	4.044	5.415	1480	1310	2790
4.045	5.512	4.046	5.509	1270	1390	2660
4.045	5.612	4.046	5.610	1450	1240	2690
4.045	5.712	4.043	5.710	1280	1270	2550
4.045	5.812	4.044	5.810	1190	1340	2530
4.045	5.912	4.047	5.913	1040	1220	2260
4.045	6.012	4.044	6.008	1350	1100	2450
4.045	6.112	4.048	6.110	1520	1380	2900
4.045	6.212	4.045	6.212	1310	1080	2390
4.045	6.312	4.042	6.311	1630	1260	2890
4.045	6.412	4.044	6.413	1530	1420	2950
4.045	6.512	4.042	6.509	1180	1290	2470
4.045	6.612	4.042	6.614	1480	1190	2670
4.045	6.712	4.048	6.716	1350	1160	2510
4.045	6.812	4.045	6.811	1620	1260	2880
4.045	6.912	4.044	6.911	1230	1260	2490
4.045	7.012	4.043	7.018	1280	1160	2440
4.045	7.112	4.040	7.108	1400	1080	2480
4.045	7.212	4.050	7.211	1260	1060	2320
4.145	5.212	4.143	5.209	1380	1480	2860
4.145	5.312	4.146	5.312	1490	1250	2740
4.145	5.412	4.148	5.411	1270	1320	2590
4.145	5.512	4.144	5.513	1180	1360	2540
4.145	5.612	4.141	5.611	1330	1560	2890
4.145	5.712	4.144	5.717	1130	1040	2170
4.145	5.812	4.146	5.812	1230	1490	2720
4.145	5.912	4.144	5.913	1220	1180	2400
4.145	6.012	4.146	6.007	1370	1360	2730
4.145	6.112	4.144	6.113	1380	1170	2550
4.145	6.212	4.145	6.212	1430	1260	2690
4.145	6.312	4.142	6.308	1320	1190	2510
4.145	6.412	4.138	6.413	1320	1180	2500
4.145	6.512	4.148	6.509	1740	1200	2940
4.145	6.612	4.147	6.610	1260	1200	2460
4.145	6.712	4.144	6.712	1340	1380	2720
4.145	6.812	4.145	6.814	1310	1360	2670
4.145	6.912	4.142	6.910	1330	1280	2610
4.145	7.012	4.142	7.012	1200	1080	2280
4.145	7.112	4.143	7.117	1520	1450	2970
4.145	7.212	4.146	7.212	1420	1450	2870
4.245	5.212	4.248	5.205	1510	1270	2780
4.245	5.312	4.243	5.309	1720	1300	3020
4.245	5.412	4.245	5.412	1730	1600	3330
4.245	5.512	4.245	5.516	1650	1220	2870
4.245	5.612	4.244	5.614	1400	1420	2820
4.245	5.712	4.247	5.707	1390	1290	2680
4.245	5.812	4.248	5.821	1380	1410	2790
4.245	5.912	4.243	5.912	1440	1510	2950
4.245	6.012	4.243	6.013	1510	1390	2900
4.245	6.112	4.242	6.108	1720	1470	3190
