# PL Mapping - 2025_07_24_15_12_14
# x_req	y_req	x_act	y_act	count1	count2	total
-247.601	103.553	-247.597	103.554	3310	3090	6400
-247.601	103.653	-247.601	103.653	2950	3020	5970
-247.601	103.753	-247.605	103.750	3310	2730	6040
-247.601	103.853	-247.601	103.852	3340	3010	6350
-247.601	103.953	-247.602	103.956	3230	2790	6020
-247.601	104.053	-247.602	104.054	3160	2740	5900
-247.601	104.153	-247.599	104.154	3300	2660	5960
-247.601	104.253	-247.607	104.202	2880	2960	5840
-247.601	104.353	-247.605	104.354	3160	2490	5650
-247.601	104.453	-247.600	104.456	2790	2730	5520
-247.601	104.553	-247.604	104.554	3070	2760	5830
-247.601	104.653	-247.602	104.654	3100	2800	5900
-247.601	104.753	-247.601	104.742	3180	2970	6150
-247.601	104.853	-247.607	104.850	2710	2730	5440
-247.601	104.953	-247.606	104.953	3020	2720	5740
-247.601	105.053	-247.598	105.054	2950	3010	5960
-247.601	105.153	-247.601	105.155	3070	2840	5910
-247.601	105.253	-247.601	105.248	3350	2860	6210
-247.601	105.353	-247.598	105.351	3070	2740	5810
-247.601	105.453	-247.603	105.455	2810	2550	5360
-247.601	105.553	-247.602	105.548	2740	2770	5510
-247.601	105.653	-247.598	105.645	2620	2480	5100
-247.601	105.753	-247.602	105.756	3010	2390	5400
-247.601	105.853	-247.599	105.854	2820	2620	5440
-247.601	105.953	-247.602	105.955	2640	2400	5040
-247.601	106.053	-247.600	106.054	2910	2690	5600
-247.601	106.153	-247.600	106.166	2840	2520	5360
-247.601	106.253	-247.607	106.255	2900	2400	5300
-247.601	106.353	-247.603	106.351	3100	2590	5690
-247.601	106.453	-247.604	106.455	3040	2590	5630
-247.601	106.553	-247.606	106.529	2830	2500	5330
-247.601	106.653	-247.600	106.654	2860	2280	5140
-247.601	106.753	-247.602	106.754	2960	2690	5650
-247.601	106.853	-247.599	106.855	2600	2540	5140
-247.601	106.953	-247.600	106.963	2840	2290	5130
-247.601	107.053	-247.601	107.051	2540	2680	5220
-247.601	107.153	-247.605	107.152	2890	2500	5390
-247.601	107.253	-247.601	107.251	2650	2390	5040
-247.601	107.353	-247.600	107.357	2880	2590	5470
-247.601	107.453	-247.602	107.456	3070	2380	5450
-247.601	107.553	-247.598	107.558	2740	2640	5380
-247.501	103.553	-247.498	103.502	2810	2180	4990
-247.501	103.653	-247.507	103.655	3010	2950	5960
-247.501	103.753	-247.503	103.758	3180	2960	6140
-247.501	103.853	-247.502	103.857	3200	2900	6100
-247.501	103.953	-247.501	103.957	3060	3100	6160
-247.501	104.053	-247.504	104.041	3310	2800	6110
-247.501	104.153	-247.499	104.156	3210	2760	5970
-247.501	104.253	-247.500	104.256	3250	2490	5740
-247.501	104.353	-247.498	104.354	3110	2840	5950
-247.501	104.453	-247.497	104.454	3060	2880	5940
-247.501	104.553	-247.501	104.542	2950	2460	5410
-247.501	104.653	-247.502	104.656	3080	2760	5840
-247.501	104.753	-247.504	104.745	2890	2830	5720
-247.501	104.853	-247.503	104.853	2790	2510	5300
-247.501	104.953	-247.503	104.947	2700	2990	5690
-247.501	105.053	-247.501	105.053	2740	2130	4870
-247.501	105.153	-247.505	105.152	3000	2700	5700
-247.501	105.253	-247.500	105.259	2910	2910	5820
-247.501	105.353	-247.501	105.352	2640	2400	5040
-247.501	105.453	-247.502	105.464	2950	2440	5390
-247.501	105.553	-247.504	105.549	2670	2570	5240
-247.501	105.653	-247.502	105.650	2910	2460	5370
-247.501	105.753	-247.500	105.754	2800	2180	4980
-247.501	105.853	-247.501	105.877	2960	2320	5280
