# PL Mapping - 2025_07_23_16_51_57
# X Y Count1 Count2 Total
-20.002 -20.000 0 2100 2100
-19.997 -19.901 0 2120 2120
-20.001 -19.798 0 2460 2460
-20.002 -19.697 0 2300 2300
-19.996 -19.602 0 2070 2070
-19.998 -19.500 0 2430 2430
-19.997 -19.399 0 2090 2090
-19.997 -19.298 0 2550 2550
-20.002 -19.199 0 2300 2300
-19.998 -19.098 0 2260 2260
-20.000 -18.999 0 2180 2180
-20.000 -18.899 0 2140 2140
-19.996 -18.796 0 2430 2430
-20.003 -18.700 0 2290 2290
-19.999 -18.598 0 2060 2060
-20.002 -18.499 0 2250 2250
-20.000 -18.400 0 2090 2090
-20.001 -18.296 0 2170 2170
-20.005 -18.202 0 2070 2070
-19.994 -18.100 0 1870 1870
-20.002 -18.001 0 2210 2210
-19.998 -17.901 0 2040 2040
-19.999 -17.797 0 2240 2240
-19.998 -17.698 0 2610 2610
-20.002 -17.597 0 2130 2130
-19.999 -17.501 0 2030 2030
-19.997 -17.398 0 2000 2000
-20.000 -17.294 0 1960 1960
-20.001 -17.193 0 2120 2120
-20.000 -17.096 0 1870 1870
-20.002 -16.995 0 1810 1810
-20.002 -16.899 0 1960 1960
-19.998 -16.800 0 1980 1980
-20.000 -16.700 0 2240 2240
-20.001 -16.599 0 1900 1900
-20.004 -16.499 0 1830 1830
-20.001 -16.397 0 1910 1910
-19.996 -16.304 0 1760 1760
-19.999 -16.195 0 1930 1930
-20.000 -16.096 0 1900 1900
-20.003 -15.995 0 2000 2000
-19.996 -15.898 0 1750 1750
-19.997 -15.798 0 2100 2100
-20.002 -15.698 0 2040 2040
-19.998 -15.605 0 2010 2010
-20.002 -15.498 0 1940 1940
-20.000 -15.402 0 2210 2210
-19.999 -15.298 0 2150 2150
-20.002 -15.195 0 2050 2050
-20.000 -15.095 0 1930 1930
-19.998 -14.997 0 1920 1920
-20.001 -14.899 0 1900 1900
-20.003 -14.800 0 2070 2070
-20.002 -14.700 0 1910 1910
-20.000 -14.594 0 1930 1930
-20.001 -14.500 0 2080 2080
-20.003 -14.398 0 2040 2040
-19.998 -14.304 0 1990 1990
-20.001 -14.198 0 2200 2200
-20.001 -14.100 0 2150 2150
-20.002 -13.996 0 2000 2000
-20.005 -13.900 0 1710 1710
-20.000 -13.802 0 2090 2090
-19.999 -13.702 0 2000 2000
-20.001 -13.600 0 1950 1950
-20.001 -13.500 0 2080 2080
-20.000 -13.400 0 1900 1900
-20.000 -13.294 0 1950 1950
-19.999 -13.201 0 2040 2040
-20.002 -13.099 0 2070 2070
-19.997 -12.998 0 2200 2200
-20.002 -12.897 0 1900 1900
-20.001 -12.802 0 1930 1930
-19.999 -12.701 0 1650 1650
-19.999 -12.597 0 2210 2210
-19.999 -12.498 0 2120 2120
-20.001 -12.402 0 1770 1770
-19.997 -12.295 0 2110 2110
-19.998 -12.199 0 2020 2020
-20.003 -12.098 0 2240 2240
-20.000 -12.001 0 2190 2190
-19.998 -11.897 0 2020 2020
-20.004 -11.796 0 2080 2080
-20.000 -11.698 0 2040 2040
-19.996 -11.599 0 1690 1690
-19.998 -11.496 0 2030 2030
-19.996 -11.401 0 2070 2070
-20.001 -11.297 0 2020 2020
-20.000 -11.202 0 2150 2150
-19.998 -11.100 0 1990 1990
-20.002 -11.005 0 2160 2160
-20.002 -10.903 0 1990 1990
-19.998 -10.801 0 2200 2200
-20.003 -10.700 0 2180 2180
-19.997 -10.602 0 2390 2390
-19.998 -10.498 0 2300 2300
-19.999 -10.400 0 1980 1980
-20.000 -10.292 0 2330 2330
-20.001 -10.200 0 1950 1950
-20.001 -10.101 0 2200 2200
-20.006 -10.001 0 2060 2060
-20.004 -9.904 0 2420 2420
-19.999 -9.796 0 2460 2460
-19.999 -9.699 0 2170 2170
-20.005 -9.600 0 2320 2320
-19.999 -9.502 0 2130 2130
-20.000 -9.395 0 2570 2570
-20.002 -9.296 0 2440 2440
-20.001 -9.199 0 2380 2380
-19.999 -9.098 0 2350 2350
-20.000 -8.998 0 2300 2300
-20.000 -8.900 0 2120 2120
