# PL Mapping - 2025_07_23_17_20_16
# X Y Count1 Count2 Total
-19.998 -20.000 2520 2420 4940
-19.998 -17.995 2680 2220 4900
-20.000 -16.002 2480 2300 4780
-20.002 -14.001 2210 2200 4410
-20.001 -11.999 2440 2770 5210
-20.000 -9.995 2610 2520 5130
-19.999 -8.000 3010 2920 5930
-20.000 -5.997 3530 3270 6800
-20.001 -4.000 3050 3250 6300
-19.998 -2.004 3110 3210 6320
-19.999 0.000 2970 2830 5800
-19.998 2.003 2640 2340 4980
-20.002 4.003 2360 2150 4510
-20.000 6.000 2220 2550 4770
-20.007 8.000 2230 2290 4520
-19.996 10.001 2350 2090 4440
-19.998 11.994 2480 2480 4960
-20.001 14.003 2360 2520 4880
-19.999 15.998 3020 2990 6010
-19.999 17.996 1640 1590 3230
-20.001 20.006 1510 1400 2910
-17.996 -19.998 2680 2450 5130
-18.001 -17.999 2460 2710 5170
-18.003 -16.000 2740 2430 5170
-18.001 -14.007 2620 2260 4880
-18.001 -12.004 2690 2230 4920
-17.997 -10.003 2680 2270 4950
-18.000 -8.005 2900 2550 5450
-17.998 -5.997 3130 2940 6070
-18.001 -3.997 3440 3230 6670
-17.998 -2.002 3630 3470 7100
-18.006 0.000 3370 3120 6490
-18.002 2.000 2580 2350 4930
-18.001 3.997 2360 2340 4700
-18.003 6.002 2480 2460 4940
-17.998 8.000 2240 2570 4810
-17.998 9.997 2650 2520 5170
-18.003 11.999 2560 2290 4850
-18.000 14.001 2720 2580 5300
-17.999 16.002 3420 3320 6740
-18.000 17.996 1910 1770 3680
-17.999 20.004 1420 1100 2520
-16.001 -19.997 2940 3090 6030
-16.002 -18.002 2570 3000 5570
-16.006 -16.004 2870 2480 5350
-16.005 -14.000 2920 3010 5930
