# Focus	Count
-22.004	4950
-21.904	4650
-21.804	4970
-21.704	4940
-21.604	4570
-21.504	4570
-21.404	5340
-21.304	5330
-21.204	4950
-21.104	5160
-21.004	4930
-20.904	4800
-20.804	4830
-20.704	5080
-20.604	5160
-20.504	4950
-20.404	5160
-20.304	5210
-20.204	4770
-20.104	4880
-20.004	5360
-19.904	5620
-19.804	5290
-19.704	5510
-19.604	5340
-19.504	5300
-19.404	5110
-19.304	5480
-19.204	5290
-19.104	5410
-19.004	5010
-18.904	5490
-18.804	5240
-18.704	5310
-18.604	5730
-18.504	5930
-18.404	5670
-18.304	5780
-18.204	5290
-18.104	4980
-18.004	6010
-17.904	5570
-17.804	5820
-17.704	5720
-17.604	5840
-17.504	5930
-17.404	6010
-17.304	6230
-17.204	6070
-17.104	5860
-17.004	6180
-16.904	5690
-16.804	5580
-16.704	6460
-16.604	6310
-16.504	6340
-16.404	6260
-16.304	6530
-16.204	6620
-16.104	6710
-16.004	6740
-15.904	6080
-15.804	6210
-15.704	6300
-15.604	6700
-15.504	7160
-15.404	6430
-15.304	6940
-15.204	7440
-15.104	6950
-15.004	7410
-14.904	7300
-14.804	7070
-14.704	7290
-14.604	6870
-14.504	6650
-14.404	7650
-14.304	7550
-14.204	7500
-14.104	7430
-14.004	7760
-13.904	7530
-13.804	8220
-13.704	7800
-13.604	7570
-13.504	7530
-13.404	7570
-13.304	7430
-13.204	8200
-13.104	7770
-13.004	7630
-12.904	7320
-12.804	7850
-12.704	7550
-12.604	8240
-12.504	7400
-12.404	8150
-12.304	8450
-12.204	8020
-12.104	8430
-12.004	8140
-11.904	7850
-11.804	8300
-11.704	8240
-11.604	7790
-11.504	8490
-11.404	8420
-11.304	8510
-11.204	8110
-11.104	8470
-11.004	8320
-10.904	7780
-10.804	7950
-10.704	8280
-10.604	8150
-10.504	8060
-10.404	7990
-10.304	8300
-10.204	8190
-10.104	8810
-10.004	8700
-9.904	7930
-9.804	8110
-9.704	8500
-9.604	8210
-9.504	8020
-9.404	7940
-9.304	7500
-9.204	7480
-9.104	7610
-9.004	7760
-8.904	7370
-8.804	7040
-8.704	8050
-8.604	7480
-8.504	7430
-8.404	7390
-8.304	7220
-8.204	7330
-8.104	7380
-8.004	7100
-7.904	6790
-7.804	6790
-7.704	6480
-7.604	6510
-7.504	6320
-7.404	6390
-7.304	6540
-7.204	6100
-7.104	5920
-7.004	5390
-6.904	5680
-6.804	6120
-6.704	5940
-6.604	5720
-6.504	5770
-6.404	5550
-6.304	5240
-6.204	6160
-6.104	5760
-6.004	5650
-5.904	5360
-5.804	5580
-5.704	5320
-5.604	5210
-5.504	5470
-5.404	4900
-5.304	5280
-5.204	4930
-5.104	5180
-5.004	4930
-4.904	4730
-4.804	5120
-4.704	4800
-4.604	4750
-4.504	4640
-4.404	4710
-4.304	5090
-4.204	4590
-4.104	4820
-4.004	4820
-3.904	4710
-3.804	4510
-3.704	4760
-3.604	4510
-3.504	4530
-3.404	4440
-3.304	4430
-3.204	4560
-3.104	4540
-3.004	4530
-2.904	4520
-2.804	4520
-2.704	4420
-2.604	4640
-2.504	4580
-2.404	4270
-2.304	4400
-2.204	4640
-2.104	4700
-2.004	4300
